row_label_raw,row_label_full,Tên công ty con,Trụ sở,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết (%),Tỷ lệ sở hữu và quyền biểu quyết (%)_1,numeric__Trụ sở,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết (%),numeric__Tỷ lệ sở hữu và quyền biểu quyết (%)_1
Tên công ty con,Tên công ty con,Tên công ty con,Trụ sở,Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,,,,
Công ty Cổ phầnThế Giới Di Động,Tên công ty con > Công ty Cổ phầnThế Giới Di Động,Công ty Cổ phầnThế Giới Di Động,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại sản phẩm điện tử,"99,95","99,95",,,99.95,99.95
Công ty Cổ phần Thương mại BáchHóa Xanh,Tên công ty con > Công ty Cổ phần Thương mại BáchHóa Xanh,Công ty Cổ phần Thương mại BáchHóa Xanh,"Thành phố Hồ Chí Minh, Việt Nam",Thương mại thực phẩm,"99,95","99,95",,,99.95,99.95
Công ty Cổ phần Thế giới Số Trần Anh,Tên công ty con > Công ty Cổ phần Thế giới Số Trần Anh,Công ty Cổ phần Thế giới Số Trần Anh,"Thành phố Hà Nội, Việt Nam",Thương mại sản phẩm điện tử,"99,33","99,33",,,99.33,99.33
Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Tên công ty con > Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,Công ty TNHH MTV Công nghệ Thông tin Thế Giới Di Động,"Thành phố Hồ Chí Minh, Việt Nam",Công nghệ thông tin,"100,00","100,00",,,100.0,100.0
"MWG (Cambodia) Co., Ltd.","Tên công ty con > MWG (Cambodia) Co., Ltd.","MWG (Cambodia) Co., Ltd.","Phnom Penh, Campuchia",Thương mại sản phẩm điện tử,"99,95","99,95",,,99.95,99.95
Công ty TNHH Dịch vụ Lắp đặt – Sửa chữa – Bảo hành Tận Tâm,Tên công ty con > Công ty TNHH Dịch vụ Lắp đặt – Sửa chữa – Bảo hành Tận Tâm,Công ty TNHH Dịch vụ Lắp đặt – Sửa chữa – Bảo hành Tận Tâm,"Thành phố Hồ Chí Minh, Việt Nam","Sửa chữa máy móc, thiết bị","99,95",-,,,99.95,
