row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Dự phòng giảm giá hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,90.101.247.456,75.026.468.954,15.074.778.502,23.067.906.765,90101247456.0,75026468954.0,15074778502.0,23067906765.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,74.364.760.471,63.210.600.900,11.154.159.571,3.477.600.900,74364760471.0,63210600900.0,11154159571.0,3477600900.0
Dự phòng chi phí bảo hành,Tài sản thuế thu nhập hoãn lại > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,14.338.104.477,11.313.726.546,3.024.377.931,2.148.818.600,14338104477.0,11313726546.0,3024377931.0,2148818600.0
Chênh lệch tỷ giá hối đoái,Tài sản thuế thu nhập hoãn lại > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(5.432.073),(2.068.735),(3.363.338),(16.072.208),-5432073.0,-2068735.0,-3363338.0,-16072208.0
TỔNG CỘNG,Tài sản thuế thu nhập hoãn lại > TỔNG CỘNG,TỔNG CỘNG,178.798.680.331,149.548.727.665,,,178798680331.0,149548727665.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,-,(1.896.011.499),1.896.011.499,(851.024.396),,-1896011499.0,1896011499.0,-851024396.0
Thu nhập thuế TNDN hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,31.145.964.165,27.827.229.661,,,31145964165.0,27827229661.0
