row_label_raw,row_label_full,Công ty TNHH Sony Electronics Việt Nam > Công ty TNHH Samsung Electronics Việt Nam Thái Nguyên > Công ty TNHH LG Electronics Việt Nam Hải Phòng,Số cuối năm > 1.223.262.408.476 > 1.281.985.861.314 > 839.166.842.803,VND Số đầu năm > 1.238.909.187.337 > 1.028.501.685.728 > 466.286.802.652,numeric__Số cuối năm > 1.223.262.408.476 > 1.281.985.861.314 > 839.166.842.803,numeric__VND Số đầu năm > 1.238.909.187.337 > 1.028.501.685.728 > 466.286.802.652
Khác,Khác,Khác,8.710.970.371.402,5.510.916.568.093,8710970371402.0,5510916568093.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,12.055.385.483.995,8.244.614.243.810,12055385483995.0,8244614243810.0
