row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,5.126.031,4.258.902,5126031.0,4258902.0
Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng,Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng,Thuế TNDN theo thuế suất 20% áp dụng cho Ngân hàng,1.025.206,851.780,1025206.0,851780.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,,,
- Thu nhập từ cổ tức,Các khoản điều chỉnh giảm: > - Thu nhập từ cổ tức,- Thu nhập từ cổ tức,(60.052),(65.414),-60052.0,-65414.0
- Điều chỉnh giảm khác,Các khoản điều chỉnh giảm: > - Điều chỉnh giảm khác,- Điều chỉnh giảm khác,(7.077),-,-7077.0,
- Điều chỉnh giảm thu nhập chịu thuế,Các khoản điều chỉnh giảm: > - Điều chỉnh giảm thu nhập chịu thuế,- Điều chỉnh giảm thu nhập chịu thuế,(600),(880),-600.0,-880.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,,,
- Chi phí không được trừ,Các khoản điều chỉnh tăng: > - Chi phí không được trừ,- Chi phí không được trừ,687,707,687.0,707.0
- Điều chỉnh tăng khác,Các khoản điều chỉnh tăng: > - Điều chỉnh tăng khác,- Điều chỉnh tăng khác,-,3.998,,3998.0
Điều chỉnh số thuế phải nộp các năm trước,Các khoản điều chỉnh tăng: > Điều chỉnh số thuế phải nộp các năm trước,Điều chỉnh số thuế phải nộp các năm trước,739,(687),739.0,-687.0
Chi phí thuế TNDN ước tính trong năm,Các khoản điều chỉnh tăng: > Chi phí thuế TNDN ước tính trong năm,Chi phí thuế TNDN ước tính trong năm,958.903,789.504,958903.0,789504.0
