row_label_raw,row_label_full,col_0,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,Thời hạn định lại lãi suất_7,Thời hạn định lại lãi suất_8,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6,numeric__Thời hạn định lại lãi suất_7,numeric__Thời hạn định lại lãi suất_8
,,,Quá hạnTriệu đồng,Khôngchiụ lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.257.088,-,-,-,-,-,-,2.257.088,,2257088.0,,,,,,,2257088.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,7.678.215,-,-,-,-,-,7.678.215,,,7678215.0,,,,,,7678215.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,42.902.885,1.700.000,-,-,-,-,44.602.885,,,42902885.0,1700000.0,,,,,44602885.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,12.781.263,-,-,-,-,-,-,12.781.263,,12781263.0,,,,,,,12781263.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.947.287,-,45.761.374,81.661.908,15.847.944,17.104.340,729.949,40.075,164.092.877,2947287.0,,45761374.0,81661908.0,15847944.0,17104340.0,729949.0,40075.0,164092877.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,1.013.973,1.165.838,2.465.760,8.686.022,12.574.191,17.054.611,16.758.990,59.719.385,,1013973.0,1165838.0,2465760.0,8686022.0,12574191.0,17054611.0,16758990.0,59719385.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,1.244.805,-,-,-,-,-,-,1.244.805,,1244805.0,,,,,,,1244805.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.019.535,-,-,-,-,-,-,1.019.535,,1019535.0,,,,,,,1019535.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,40.017,9.328.422,780.973,2.462.326,1.546.885,597.068,574.000,-,15.329.691,40017.0,9328422.0,780973.0,2462326.0,1546885.0,597068.0,574000.0,,15329691.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.987.304,27.645.086,98.289.285,88.289.994,26.080.851,30.275.599,18.358.560,16.799.065,308.725.744,2987304.0,27645086.0,98289285.0,88289994.0,26080851.0,30275599.0,18358560.0,16799065.0,308725744.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,142.170,-,-,601,-,142.771,,,,142170.0,,,601.0,,142771.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,64.099.214,5.556.216,3.444.724,597.068,-,-,73.697.222,,,64099214.0,5556216.0,3444724.0,597068.0,,,73697222.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,318.315,52.693.424,34.913.070,38.505.077,40.864.470,7.344.015,1.274,174.639.645,,318315.0,52693424.0,34913070.0,38505077.0,40864470.0,7344015.0,1274.0,174639645.0
