row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",45.499.091,"27,73",40.347.076,"30,17",45499091.0,27.73,40347076.0,30.17
Xây dựng,Xây dựng,Xây dựng,21.127.284,"12,87",15.594.380,"11,66",21127284.0,12.87,15594380.0,11.66
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,14.520.664,"8,85",11.504.446,"8,60",14520664.0,8.85,11504446.0,8.6
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",13.094.647,"7,98",7.875.077,"5,89",13094647.0,7.98,7875077.0,5.89
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",12.684.154,"7,73",9.416.255,"7,04",12684154.0,7.73,9416255.0,7.04
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",12.552.339,"7,65",10.639.994,"7,95",12552339.0,7.65,10639994.0,7.95
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và động cơ khác",10.563.978,"6,44",6.616.331,"4,95",10563978.0,6.44,6616331.0,4.95
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,5.715.502,"3,48",5.798.589,"4,34",5715502.0,3.48,5798589.0,4.34
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,3.750.825,"2,29",3.044.265,"2,28",3750825.0,2.29,3044265.0,2.28
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",1.459.744,"0,89",894.656,"0,67",1459744.0,0.89,894656.0,0.67
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,1.275.450,"0,78",1.223.893,"0,91",1275450.0,0.78,1223893.0,0.91
Khai khoáng,Khai khoáng,Khai khoáng,323.217,"0,20",305.814,"0,23",323217.0,0.2,305814.0,0.23
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",320.488,"0,19",209.376,"0,16",320488.0,0.19,209376.0,0.16
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,294.431,"0,18",616.043,"0,46",294431.0,0.18,616043.0,0.46
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,283.511,"0,17",179.282,"0,13",283511.0,0.17,179282.0,0.13
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,192.880,"0,12",174.043,"0,13",192880.0,0.12,174043.0,0.13
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",129.467,"0,08",125.564,"0,09",129467.0,0.08,125564.0,0.09
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",63.084,"0,04",50.754,"0,04",63084.0,0.04,50754.0,0.04
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,20.242.121,"12,33",19.126.834,"14,30",20242121.0,12.33,19126834.0,14.3
,,,164.092.877,"100,00",133.742.672,"100,00",164092877.0,100.0,133742672.0,100.0
