row_label_raw,row_label_full,Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,Số cuối nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,Số đầu nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,numeric__Số cuối nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay,numeric__Số đầu nămTriệu đồng > Phải trả về nghiệp vụ thư tín dụng trả chậmcó điều khoản trả ngay
Bằng VND,Bằng VND,Bằng VND,1.314.521,1.315.848,1314521.0,1315848.0
Bằng Ngoại tệ,Bằng Ngoại tệ,Bằng Ngoại tệ,3.990.731,2.499.970,3990731.0,2499970.0
Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,,
Bằng VND,Vay các tổ chức tín dụng khác > Bằng VND,Bằng VND,23.217.124,12.414.534,23217124.0,12414534.0
Bằng ngoại tệ,Vay các tổ chức tín dụng khác > Bằng ngoại tệ,Bằng ngoại tệ,5.466.430,4.147.431,5466430.0,4147431.0
,,,33.988.806,20.377.783,33988806.0,20377783.0
