row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dụng cụ quản lýTriệu đồng",Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dụng cụ quản lýTriệu đồng",numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,417.715,160.920,273.168,222.640,11.744,1.086.187,417715.0,160920.0,273168.0,222640.0,11744.0,1086187.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.830,69.865,45.099,19.615,214,140.623,5830.0,69865.0,45099.0,19615.0,214.0,140623.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(235),(6.924),(959),(139),(128),(8.385),-235.0,-6924.0,-959.0,-139.0,-128.0,-8385.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,423.310,223.861,317.308,242.116,11.830,1.218.425,423310.0,223861.0,317308.0,242116.0,11830.0,1218425.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,96.497,130.129,146.967,202.971,9.333,585.897,96497.0,130129.0,146967.0,202971.0,9333.0,585897.0
Khẩu hao trong năm,Giá trị hao mòn luỹ kế > Khẩu hao trong năm,Khẩu hao trong năm,15.868,11.047,33.308,13.400,917,74.540,15868.0,11047.0,33308.0,13400.0,917.0,74540.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(229),(6.907),(959),(135),(128),(8.358),-229.0,-6907.0,-959.0,-135.0,-128.0,-8358.0
Điều chỉnh trong năm,Giá trị hao mòn luỹ kế > Điều chỉnh trong năm,Điều chỉnh trong năm,-,-,17,-,-,17,,,17.0,,,17.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,112.136,134.269,179.333,216.236,10.122,652.096,112136.0,134269.0,179333.0,216236.0,10122.0,652096.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,321.218,30.791,126.201,19.669,2.411,500.290,321218.0,30791.0,126201.0,19669.0,2411.0,500290.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,311.174,89.592,137.975,25.880,1.708,566.329,311174.0,89592.0,137975.0,25880.0,1708.0,566329.0
