row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,,,
Tiền gửi tại và cho vay các TCTD khácCho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Tiền gửi tại và cho vay các TCTD khácCho vay khách hàng - gộp,Tiền gửi tại và cho vay các TCTD khácCho vay khách hàng - gộp,38.224.804164.092.877,6.378.081-,44.602.885164.092.877,3.822480416409288e+16,,4.460288516409288e+16
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,72.500.648,-,72.500.648,72500648.0,,72500648.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2020 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",1.244.805,-,1.244.805,1244805.0,,1244805.0
Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,66.535.485,7.161.737,73.697.222,66535485.0,7161737.0,73697222.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,174.639.645,-,174.639.645,174639645.0,,174639645.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2020 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),64.454.763,-,64.454.763,64454763.0,,64454763.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2020 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",3.037.163,-,3.037.163,3037163.0,,3037163.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2020 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,27.504.257,-,27.504.257,27504257.0,,27504257.0
Cam kết ngoại bằng tạingày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020 > Cam kết ngoại bằng tạingày 31 tháng 12 năm 2020,Cam kết ngoại bằng tạingày 31 tháng 12 năm 2020,147.141.442,-,147.141.442,147141442.0,,147141442.0
