row_label_raw,row_label_full,Bên liên quan > Cổ đông lớn và các bên liên quan với cổ đông lớn,Các giao dịch > Gửi tiền vào tài khoản và trả lãi tiền gửi > Rút tiền từ tài khoản,Năm nayTriệu đồng > 54.035.050 > 53.126.989,Năm trướcTriệu đồng > 29.122.406 > 29.874.071,numeric__Các giao dịch > Gửi tiền vào tài khoản và trả lãi tiền gửi > Rút tiền từ tài khoản,numeric__Năm nayTriệu đồng > 54.035.050 > 53.126.989,numeric__Năm trướcTriệu đồng > 29.122.406 > 29.874.071
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu gốc cho vay,-,112.680,,,112680.0
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu nhập lãi cho vay,-,38.733,,,38733.0
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Thu nhập lãi trái phiếu,-,34.693,,,34693.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Gửi tiền vào tài khoản và trả lãi tiền gửi,55.879.865,98.554.062,,55879865.0,98554062.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Rút tiền từ tài khoản,57.182.592,97.161.862,,57182592.0,97161862.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Cho vay,3.154.932,8.872.660,,3154932.0,8872660.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Thu gốc cho vay,2.601.709,8.724.528,,2601709.0,8724528.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Thu nhập lãi cho vay,56.132,38.004,,56132.0,38004.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",Cổ tức nhận được,-,26.809,,,26809.0
Các công ty con,Các công ty con,Các công ty con,Gửi tiền vào tài khoản và trả lãi tiền gửi,82.880.650,68.774.785,,82880650.0,68774785.0
Các công ty con,Các công ty con,Các công ty con,Rút tiền từ tài khoản,83.099.485,68.811.654,,83099485.0,68811654.0
Các công ty con,Các công ty con,Các công ty con,Cổ tức nhận được,300.000,300.000,,300000.0,300000.0
Các công ty con,Các công ty con,Các công ty con,Tạm ứng góp vốn,-,300.000,,,300000.0
Các công ty con,Các công ty con,Các công ty con,Cho vay,600.000,650.000,,600000.0,650000.0
Các công ty con,Các công ty con,Các công ty con,Thu gốc cho vay,850.000,580.000,,850000.0,580000.0
Các công ty con,Các công ty con,Các công ty con,Thu nhập lãi cho vay,16.823,48.066,,16823.0,48066.0
Các công ty con,Các công ty con,Các công ty con,Chi phí lãi tiền gửi,6.675,13.710,,6675.0,13710.0
Các công ty con,Các công ty con,Các công ty con,Thu nhập nắm giữ giấy tờ có giá,133.919,59.264,,133919.0,59264.0
Các công ty con,Các công ty con,Các công ty con,Thu nhập từ hợp đồng hợp tác hỗ trợ,,,,,
Các công ty con,Các công ty con > Các công ty con,Các công ty con,công nghệ thông tin,29.358,15.943,,29358.0,15943.0
Các công ty con,Các công ty con > Các công ty con,Các công ty con,Chi phí ủy thác quản lý tài sản,743,12.085,,743.0,12085.0
Các công ty con,Các công ty con > Các công ty con,Các công ty con,Thu nhập lãi hợp đồng hoán đổi,24.957,31.696,,24957.0,31696.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Các công ty con > Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Gửi tiền vào tài khoản và trả lãi tiền gửi,119.159.438,49.797.219,,119159438.0,49797219.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Các công ty con > Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Rút tiền từ tài khoản,118.339.370,49.799.278,,118339370.0,49799278.0
Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Các công ty con > Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Thành viên Hội đồng Quản trị và Ban Điều hành của Ngân hàng và các bên liên quan đến các cá nhân này,Cho vay,5.180,127.144,,5180.0,127144.0
