row_label_raw,row_label_full,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn PhúHội đồng Quản trị và Ban kiểm soát,Công ty liên kết,Nhận góp vốn hợp tác đầu tư,8.462.300.021,8.462.300.021_1,numeric__Công ty liên kết,numeric__Nhận góp vốn hợp tác đầu tư,numeric__8.462.300.021,numeric__8.462.300.021_1
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn PhúHội đồng Quản trị và Ban kiểm soát,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn PhúHội đồng Quản trị và Ban kiểm soát,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn PhúHội đồng Quản trị và Ban kiểm soát,Công ty liên kết,Phải trả thù lao,216.000.000,189.000.000,,,216000000.0,189000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,8.678.300.021,8.651.300.021,,,8678300021.0,8651300021.0
Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),,,,
Công ty Cổ phần Tập đoàn Phú Mỹ,Phải trả dài hạn khác (Thuyết minh số 21) > Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Cùng thành viên Hội đồng Quản trị,Nhận góp vốn hợp tác đầu tư,1.297.290.000,1.297.290.000,,,1297290000.0,1297290000.0
Công ty Cổ phần In và Văn hóa phẩm,Phải trả dài hạn khác (Thuyết minh số 21) > Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,Công ty liên kết,Phải trả chia sẻ lợi nhuận hợp tác kinh doanh,-,12.383.399.413,,,,12383399413.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,,,1.297.290.000,13.680.689.413,,,1297290000.0,13680689413.0
