row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2021 > Giá trị,Ngày 31 tháng 12 năm 2021 > Số có khả năng trả nợ,Số phát sinh trong kỳ > Tăng,Số phát sinh trong kỳ > Giảm,Ngày 31 tháng 21 năm 2022 > Giá trị,Ngày 31 tháng 21 năm 2022 > Số có khả năng trả nợ,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị,numeric__Ngày 31 tháng 12 năm 2021 > Số có khả năng trả nợ,numeric__Số phát sinh trong kỳ > Tăng,numeric__Số phát sinh trong kỳ > Giảm,numeric__Ngày 31 tháng 21 năm 2022 > Giá trị,numeric__Ngày 31 tháng 21 năm 2022 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),125.149.757.538,125.149.757.538,149.529.407.813,(152.536.369.785),122.142.795.566,122.142.795.566,125149757538.0,125149757538.0,149529407813.0,-152536369785.0,122142795566.0,122142795566.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.2),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.2),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 22.2),1.108.951.082.723,1.108.951.082.723,605.199.398.490,(1.118.951.127.723),595.199.353.490,595.199.353.490,1108951082723.0,1108951082723.0,605199398490.0,-1118951127723.0,595199353490.0,595199353490.0
Vay đổi tượng khác(Thuyết minh số 22.3),Vay ngắn hạn > Vay đổi tượng khác(Thuyết minh số 22.3),Vay đổi tượng khác(Thuyết minh số 22.3),84.311.010.000,84.311.010.000,48.500.000.000,(55.411.010.000),77.400.000.000,77.400.000.000,84311010000.0,84311010000.0,48500000000.0,-55411010000.0,77400000000.0,77400000000.0
Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 22.4),Vay ngắn hạn > Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 22.4),Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 22.4),476.064.208.335,476.064.208.335,3.935.791.665,(480.000.000.000),-,-,476064208335.0,476064208335.0,3935791665.0,-480000000000.0,,
,,,1.794.476.058.596,1.794.476.058.596,807.164.597.968,(1.806.898.507.508),794.742.149.056,794.742.149.056,1794476058596.0,1794476058596.0,807164597968.0,-1806898507508.0,794742149056.0,794742149056.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 22.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 22.2),Vay ngân hàng(Thuyết minh số 22.2),934.258.248.960,934.258.248.960,1.957.543.895.998,(934.911.533.034),1.956.890.611.924,1.956.890.611.924,934258248960.0,934258248960.0,1957543895998.0,-934911533034.0,1956890611924.0,1956890611924.0
Vay dài hạn đối tượng khác (Thuyết minh số 22.3),Vay dài hạn > Vay dài hạn đối tượng khác (Thuyết minh số 22.3),Vay dài hạn đối tượng khác (Thuyết minh số 22.3),-,-,550.000.000.000,-,550.000.000.000,550.000.000.000,,,550000000000.0,,550000000000.0,550000000000.0
Trái phiếu phát hành(Thuyết minh số 22.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 22.4),Trái phiếu phát hành(Thuyết minh số 22.4),422.201.509.707,422.201.509.707,248.167.250.748,(5.687.600.000),664.681.160.455,664.681.160.455,422201509707.0,422201509707.0,248167250748.0,-5687600000.0,664681160455.0,664681160455.0
,,,1.356.459.758.667,1.356.459.758.667,2.755.711.146.746,(940.599.133.034),3.171.571.772.379,3.171.571.772.379,1356459758667.0,1356459758667.0,2755711146746.0,-940599133034.0,3171571772379.0,3171571772379.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.150.935.817.263,3.150.935.817.263,3.562.875.744.714,(2.747.497.640.542),3.966.313.921.435,3.966.313.921.435,3150935817263.0,3150935817263.0,3562875744714.0,-2747497640542.0,3966313921435.0,3966313921435.0
