row_label_raw,row_label_full,col_0,Vốn chủ sở hữu thuộc cổ đông công ty mẹ,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_1,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_2,Vốn chủ sở hữu thuộc cổ đông công ty mẹ_3,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_1,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_2,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ_3,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2
,,,Vốn cổ phần đã phát hành,Quyền chọn chuyển đổi trái phiếu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số đầu năm,Số đầu năm,1.999.999.000.000,-,15.177.859.740,7.588.929.869,735.366.093.186,200.092.592.852,2.958.224.475.647,1999999000000.0,,15177859740.0,7588929869.0,735366093186.0,200092592852.0,2958224475647.0
• Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > • Lợi nhuận thuần trong năm,• Lợi nhuận thuần trong năm,-,-,-,-,348.132.041.356,(3.982.077.468),344.149.963.888,,,,,348132041356.0,-3982077468.0,344149963888.0
• Phát hành cổ phiếu trả cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > • Phát hành cổ phiếu trả cổ tức,• Phát hành cổ phiếu trả cổ tức,199.998.800.000,-,-,-,(199.998.800.000),-,-,199998800000.0,,,,-199998800000.0,,
• Phát hành thêm trái phiếu chuyển đổi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > • Phát hành thêm trái phiếu chuyển đổi,• Phát hành thêm trái phiếu chuyển đổi,-,90.496.534.831,-,-,-,-,90.496.534.831,,90496534831.0,,,,,90496534831.0
• Thay đổi do giảm tỷ lệ sở hữu trong công ty con không làm mất quyền kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > • Thay đổi do giảm tỷ lệ sở hữu trong công ty con không làm mất quyền kiểm soát,• Thay đổi do giảm tỷ lệ sở hữu trong công ty con không làm mất quyền kiểm soát,-,-,-,-,1.736.239.581,7.473.760.419,9.210.000.000,,,,,1736239581.0,7473760419.0,9210000000.0
• Giảm khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > • Giảm khác,• Giảm khác,-,-,-,-,(6.440.855.444),(1.195.546.939),(7.636.402.383),,,,,-6440855444.0,-1195546939.0,-7636402383.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Số cuối năm,Số cuối năm,2.199.997.800.000,90.496.534.831,15.177.859.740,7.588.929.869,878.794.718.679,202.388.728.864,3.394.444.571.983,2199997800000.0,90496534831.0,15177859740.0,7588929869.0,878794718679.0,202388728864.0,3394444571983.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Số đầu năm,Số đầu năm,2.199.997.800.000,90.496.534.831,15.177.859.740,7.588.929.869,878.794.718.679,202.388.728.864,3.394.444.571.983,2199997800000.0,90496534831.0,15177859740.0,7588929869.0,878794718679.0,202388728864.0,3394444571983.0
• Lợi nhuận/(lỗ) thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > • Lợi nhuận/(lỗ) thuần trong năm,• Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,539.690.100.341,(47.340.548.252),492.349.552.089,,,,,539690100341.0,-47340548252.0,492349552089.0
