row_label_raw,row_label_full,Ông Tõ Như Toàn,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Bà Nguyễn Diệu Tú,Phó chủ tịch,,,
Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Bà Đỗ Thị Thanh Phương,Thành viên,,,
Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Ông Phạm Hồng Châu,Thành viên,,,
Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Ông Triệu Hữu Đại,Thành viên,bổ nhiệm ngày 26 tháng 4 năm 2022,,
Ông Tõ Như Thắng,Ông Tõ Như Thắng,Ông Tõ Như Thắng,Thành viên,bổ nhiệm ngày 26 tháng 4 năm 2022,,
Ông Chu Đức Lương,Ông Chu Đức Lương,Ông Chu Đức Lương,Thành viên độc lập,,,
Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Ông Trịnh Thanh Hải,Thành viên độc lập,,,
