row_label_raw,row_label_full,col_0,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần In và Văn hóa phẩm,Công ty TNHH BT Hà Đông,Công ty Cổ phần Đầu tư Phong Phú (ii),Công ty Cổ phần Đầu tư Hà Phú Riverland (ii),Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty TNHH An Biên Golf and Resort,Công ty Cổ phần Đầu tư – Kinh doanh Bất động sản Trần Việt (i),Tổng cộng,numeric__Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,numeric__Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,numeric__Công ty Cổ phần In và Văn hóa phẩm,numeric__Công ty TNHH BT Hà Đông,numeric__Công ty Cổ phần Đầu tư Phong Phú (ii),numeric__Công ty Cổ phần Đầu tư Hà Phú Riverland (ii),numeric__Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,numeric__Công ty TNHH An Biên Golf and Resort,numeric__Công ty Cổ phần Đầu tư – Kinh doanh Bất động sản Trần Việt (i),numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,278.006.400.000,163.786.400.000,33.777.503.175,54.562.886.097,191.250.000.000,76.500.000.000,367.500.000.000,202.370.000.000,27.440.000.000,1.395.193.189.272,278006400000.0,163786400000.0,33777503175.0,54562886097.0,191250000000.0,76500000000.0,367500000000.0,202370000000.0,27440000000.0,1395193189272.0
"- Thời vốn, chuyển nhượng","Giá trị đầu tư: > - Thời vốn, chuyển nhượng","- Thời vốn, chuyển nhượng",-,-,-,-,(3.750.000.000),(1.500.000.000),-,-,(27.440.000.000),(32.690.000.000),,,,,-3750000000.0,-1500000000.0,,,-27440000000.0,-32690000000.0
- Gộp vốn/mua mốt trong năm,Giá trị đầu tư: > - Gộp vốn/mua mốt trong năm,- Gộp vốn/mua mốt trong năm,-,-,-,1.983.900.000,-,-,-,-,-,1.983.900.000,,,,1983900000.0,,,,,,1983900000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,278.006.400.000,163.786.400.000,33.777.503.175,56.546.786.097,187.500.000.000,75.000.000.000,367.500.000.000,202.370.000.000,-,1.364.487.069.272,278006400000.0,163786400000.0,33777503175.0,56546786097.0,187500000000.0,75000000000.0,367500000000.0,202370000000.0,,1364487069272.0
"Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết:",,,,,,,,,,
Số đầu năm,"Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,(765.943.273),57.324.552.604,(4.950.941.843),-,(604.069.934),(95.245.714),9.367.438.321,-,(9.792.632),60.265.997.529,-765943273.0,57324552604.0,-4950941843.0,,-604069934.0,-95245714.0,9367438321.0,,-9792632.0,60265997529.0
- Thay đổi do thcải vốn,"Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết: > - Thay đổi do thcải vốn",- Thay đổi do thcải vốn,-,-,-,-,40.157.905,7.693.899,-,-,9.792.632,57.644.436,,,,,40157905.0,7693899.0,,,9792632.0,57644436.0
"- Phần lãi/(tổ) từ công ty liên doanh, liên kết","Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết: > - Phần lãi/(tổ) từ công ty liên doanh, liên kết","- Phần lãi/(tổ) từ công ty liên doanh, liên kết",268.334.574,13.325.223.349,(197.480.962),-,(1.222.830.336),(433.122.246),2.352.763.351,284.571.983,-,14.377.479.693,268334574.0,13325223349.0,-197480962.0,,-1222830336.0,-433122246.0,2352763351.0,284571983.0,,14377479693.0
Số cuối năm,"Phần chia lãi/(tổ) sau khi mua công ty liên doanh, liên kết: > Số cuối năm",Số cuối năm,(497.608.699),70.649.775.953,(5.148.422.825),-,(1.786.742.365),(520.674.061),11.720.221.672,284.571.983,-,74.701.121.658,-497608699.0,70649775953.0,-5148422825.0,,-1786742365.0,-520674061.0,11720221672.0,284571983.0,,74701121658.0
