row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế thu nhập hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,23.421.802.665,-,23.353.839.498,-,23421802665.0,,23353839498.0,
Dự phòng hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,25.921.382.519,-,25.921.382.519,-,25921382519.0,,25921382519.0,
Chi phí tư vấn,Tài sản thuế thu nhập hoãn lại > Chi phí tư vấn,Chi phí tư vấn,5.888.000.000,-,5.888.000.000,-,5888000000.0,,5888000000.0,
"Chi phí phân bổ công cụ, dụng cụ","Tài sản thuế thu nhập hoãn lại > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",368.666.450,-,368.666.450,-,368666450.0,,368666450.0,
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,3.041.567.252,2.777.173.826,264.393.428,1.450.568.328,3041567252.0,2777173826.0,264393428.0,1450568328.0
,,,58.641.418.886,2.777.173.826,,,58641418886.0,2777173826.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế thu nhập hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(14.728.422.054),-,(1.980.501.372),-,-14728422054.0,,-1980501372.0,
Chi phí lãi trái phiếu chuyển đổi,Thuế thu nhập hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,(12.010.708.808),-,6.088.598.158,-,-12010708808.0,,6088598158.0,
Chi phí vốn hóa lãi vay,Thuế thu nhập hoãn lại phải trả > Chi phí vốn hóa lãi vay,Chi phí vốn hóa lãi vay,(8.044.794.521),(6.742.274.248),(1.302.520.273),(6.742.274.248),-8044794521.0,-6742274248.0,-1302520273.0,-6742274248.0
,,,(34.783.925.383),(6.742.274.248),,,-34783925383.0,-6742274248.0,,
Tài sản thuế thu nhập hoãn lại/(thuế thu nhập hoãn lại phải trả) thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại/(thuế thu nhập hoãn lại phải trả) thuần,Tài sản thuế thu nhập hoãn lại/(thuế thu nhập hoãn lại phải trả) thuần,23.857.493.503,(3.965.100.422),,,23857493503.0,-3965100422.0,,
Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,,,58.601.858.408,(5.291.705.920),,,58601858408.0,-5291705920.0
