row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm và Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Ngày 31 tháng 12năm 2022(VND) > 816.924.391.340,Kỳ hạn trả gốc và lãi > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 8 năm 2020 đến tháng 2 năm 2024.,"Lãi suất(%/năm) > 9,15%",Hình thức đàmbảo > (iii),numeric__Ngày 31 tháng 12năm 2022(VND) > 816.924.391.340,numeric__Kỳ hạn trả gốc và lãi > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 8 năm 2020 đến tháng 2 năm 2024.,"numeric__Lãi suất(%/năm) > 9,15%",numeric__Hình thức đàmbảo > (iii)
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,412.431.695.670,,,,412431695670.0,,,
Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,538.520.758.665,Gốc và lãi được thanh toán 6 tháng một lần từ tháng 2 năm 2024 đến tháng 5 năm 2025.,"10,2% - 10,4%",(iii),538520758665.0,,,
Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng,26.325.604.055,Gốc thanh toán 3 tháng một lần tại từng khế ước sau thời gian ăn hạn gốc tới tháng 12 năm 2024. Lãi thanh toán hàng tháng,"9,8% - 13,15%",(iv),26325604055.0,,,
"Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú (""MB"")","Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú (""MB"")","Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phú (""MB"")",439.248.580.075,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 4 năm 2037. Lãi thanh toán 3 tháng/lần.,9%,(v),439248580075.0,,0.09,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,731.070.631.279,Gốc đáo hạn trong tháng 3 năm 2025. Lãi thanh toán 3 tháng/lần,"11,2% - 13,6%",(vi),731070631279.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,182.767.657.820,,,,182767657820.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.552.089.965.414,,,,2552089965414.0,,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,595.199.353.490,,,,595199353490.0,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.956.890.611.924,,,,1956890611924.0,,,
