row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bất động sản (*),Ngắn hạn > Phải thu từ chuyển nhượng bất động sản (*),Phải thu từ chuyển nhượng bất động sản (*),93.004.037.395,359.028.208.908,93004037395.0,359028208908.0
- Công ty TNHH Đầu tư Bất động sản Hung Phú,Ngắn hạn > - Công ty TNHH Đầu tư Bất động sản Hung Phú,- Công ty TNHH Đầu tư Bất động sản Hung Phú,22.622.304.239,84.608.448.880,22622304239.0,84608448880.0
- Các khách hàng khác,Ngắn hạn > - Các khách hàng khác,- Các khách hàng khác,70.381.733.156,274.419.760.028,70381733156.0,274419760028.0
Phải thu từ hoạt động khác,Ngắn hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,37.730.833.202,21.522.823.111,37730833202.0,21522823111.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,130.734.870.597,380.551.032.019,130734870597.0,380551032019.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ hoạt động khác,Dài hạn > Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,20.202.866.956,-,20202866956.0,
- Công ty TNHH Hồ Tây Một Thành Viên,Dài hạn > - Công ty TNHH Hồ Tây Một Thành Viên,- Công ty TNHH Hồ Tây Một Thành Viên,20.202.866.956,-,20202866956.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,20.202.866.956,-,20202866956.0,
Dự phòng phải thu ngắn hạn khó đòi,Dài hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(42.784.760.757),(29.421.028.757),-42784760757.0,-29421028757.0
