row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND SỐ đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND SỐ đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Trích trước chi phí phát triển bất động sản Dự ánThe Terra An Hưng,Ngắn hạn > Trích trước chi phí phát triển bất động sản Dự ánThe Terra An Hưng,Trích trước chi phí phát triển bất động sản Dự ánThe Terra An Hưng,111.532.000.434,127.581.867.855,111532000434.0,127581867855.0
Trích trước chi phí phát triển bất động sản Dự ánKhu đô thị mới Văn Phú,Ngắn hạn > Trích trước chi phí phát triển bất động sản Dự ánKhu đô thị mới Văn Phú,Trích trước chi phí phát triển bất động sản Dự ánKhu đô thị mới Văn Phú,99.950.641.403,99.950.641.403,99950641403.0,99950641403.0
Trích trước chi phí phát triển bất động sản Dự ánHùng Sơn - Thanh Hóa,Ngắn hạn > Trích trước chi phí phát triển bất động sản Dự ánHùng Sơn - Thanh Hóa,Trích trước chi phí phát triển bất động sản Dự ánHùng Sơn - Thanh Hóa,88.394.571.133,-,88394571133.0,
Chi phí hỗ trợ lãi suất,Ngắn hạn > Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,53.785.224.892,-,53785224892.0,
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,98.330.120.532,143.026.932.061,98330120532.0,143026932061.0
Chi phí phát triển bất động sản Dự án GrandeurPalace Giảng Võ,Ngắn hạn > Chi phí phát triển bất động sản Dự án GrandeurPalace Giảng Võ,Chi phí phát triển bất động sản Dự án GrandeurPalace Giảng Võ,1.424.097.498,42.004.004.184,1424097498.0,42004004184.0
Trích trước chi phí miễn phí quản lý cho khách hàng,Ngắn hạn > Trích trước chi phí miễn phí quản lý cho khách hàng,Trích trước chi phí miễn phí quản lý cho khách hàng,11.418.823.044,11.389.330.944,11418823044.0,11389330944.0
Chi phí trích trước khác,Ngắn hạn > Chi phí trích trước khác,Chi phí trích trước khác,15.817.817.329,13.672.185.062,15817817329.0,13672185062.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,480.653.296.265,437.624.961.509,480653296265.0,437624961509.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay phải trả,Dài hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,58.881.535.500,-,58881535500.0,
Trích trước chi phí miễn phí quản lý cho khách hàng,Dài hạn > Trích trước chi phí miễn phí quản lý cho khách hàng,Trích trước chi phí miễn phí quản lý cho khách hàng,6.765.741.300,9.250.640.700,6765741300.0,9250640700.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,65.647.276.800,9.250.640.700,65647276800.0,9250640700.0
