row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,
Tạm ứng đề phục vụ phát triển các dự án,Ngắn hạn > Tạm ứng đề phục vụ phát triển các dự án,Tạm ứng đề phục vụ phát triển các dự án,383.922.385.844,-,581.119.042.258,-,383922385844.0,,581119042258.0,
Tạm ứng bồi thường và giải phóng mặt bằng,Ngắn hạn > Tạm ứng bồi thường và giải phóng mặt bằng,Tạm ứng bồi thường và giải phóng mặt bằng,41.635.912.987,-,135.264.511.571,-,41635912987.0,,135264511571.0,
"Dự thu lãi cho vay, tiền gửi","Ngắn hạn > Dự thu lãi cho vay, tiền gửi","Dự thu lãi cho vay, tiền gửi",108.731.630.875,-,86.452.058.540,-,108731630875.0,,86452058540.0,
Tạm ứng mua cổ phần,Ngắn hạn > Tạm ứng mua cổ phần,Tạm ứng mua cổ phần,50.000.000.000,-,50.000.000.000,-,50000000000.0,,50000000000.0,
"Ký quỹ, ký cược ngắn hạn","Ngắn hạn > Ký quỹ, ký cược ngắn hạn","Ký quỹ, ký cược ngắn hạn",45.104.591.900,-,45.379.547.320,-,45104591900.0,,45379547320.0,
Tạm ứng cho nhân viên khác,Ngắn hạn > Tạm ứng cho nhân viên khác,Tạm ứng cho nhân viên khác,26.698.410.380,(15.544.378.661),30.840.474.124,-,26698410380.0,-15544378661.0,30840474124.0,
Đặt cọc thực hiện hợp đồng,Ngắn hạn > Đặt cọc thực hiện hợp đồng,Đặt cọc thực hiện hợp đồng,70.000.000.000,-,13.561.643.836,-,70000000000.0,,13561643836.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,25.471.012.337,(1.280.196.400),21.413.390.086,-,25471012337.0,-1280196400.0,21413390086.0,
Đặt cọc hợp tác đầu tư (*),Ngắn hạn > Đặt cọc hợp tác đầu tư (*),Đặt cọc hợp tác đầu tư (*),250.000.000.000,-,-,-,250000000000.0,,,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.001.563.944.323,(16.824.575.061),964.030.667.735,-,1001563944323.0,-16824575061.0,964030667735.0,
Dài hạn,Dài hạn,Dài hạn,,,,,,,,
Đặt cọc hợp tác đầu tư (**),Dài hạn > Đặt cọc hợp tác đầu tư (**),Đặt cọc hợp tác đầu tư (**),12.000.000.000,-,-,-,12000000000.0,,,
Tạm ứng bồi thường và giải phóng mặt bằng,Dài hạn > Tạm ứng bồi thường và giải phóng mặt bằng,Tạm ứng bồi thường và giải phóng mặt bằng,20.957.544.102,-,21.202.291.240,-,20957544102.0,,21202291240.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,11.460.958.785,-,9.729.779.525,-,11460958785.0,,9729779525.0,
Phải thu từ các bên liên quan (Thuyết minh số 33),Dài hạn > Phải thu từ các bên liên quan (Thuyết minh số 33),Phải thu từ các bên liên quan (Thuyết minh số 33),452.617.690.000,-,452.617.690.000,-,452617690000.0,,452617690000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,497.036.192.887,-,483.549.760.765,-,497036192887.0,,483549760765.0,
