row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,580.180.516.407(93.296.879.528),5.469.853.01538.871.417.779,23.004.105.591-,3.615.427.088-,9.340.810.74554.425.461.749,621.610.712.846-,,5.4698530153887144e+20,,,9.340810745544254e+20,
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,580.180.516.407(93.296.879.528),5.469.853.01538.871.417.779,23.004.105.591-,3.615.427.088-,9.340.810.74554.425.461.749,621.610.712.846-,,5.4698530153887144e+20,,,9.340810745544254e+20,
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,475.280.000,5.679.696.667,194.431.314,479.617.600,6.829.025.581,,475280000.0,5679696667.0,194431314.0,479617600.0,6829025581.0
- Tăng khác,Nguyên giá: > - Tăng khác,- Tăng khác,-,6.626.912.160,-,-,2.148.984.000,8.775.896.160,,6626912160.0,,,2148984000.0,8775896160.0
- Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,Nguyên giá: > - Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,- Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,7.517.486.159,141.258.035,-,-,6.428.778.839,14.087.523.033,7517486159.0,141258035.0,,,6428778839.0,14087523033.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,494.401.123.038,51.584.720.989,28.683.802.258,3.809.858.402,72.823.652.933,651.303.157.620,494401123038.0,51584720989.0,28683802258.0,3809858402.0,72823652933.0,651303157620.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,-,3.614.240.000,2.190.988.905,-,5.805.228.905,,,3614240000.0,2190988905.0,,5805228905.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,26.661.178.438(4.287.294.527),1.683.861.7541.786.267.853,12.070.292.509-,2.977.852.301-,3.137.844.9952.501.026.674,46.531.029.997-,,1.6838617541786268e+19,,,3.1378449952501027e+19,
- Phân loại lại,Giá trị khấu hao lũy kế: > - Phân loại lại,- Phân loại lại,26.661.178.438(4.287.294.527),1.683.861.7541.786.267.853,12.070.292.509-,2.977.852.301-,3.137.844.9952.501.026.674,46.531.029.997-,,1.6838617541786268e+19,,,3.1378449952501027e+19,
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.050.581.456,3.254.222.989,3.562.770.580,464.797.832,6.434.734.892,24.767.107.749,11050581456.0,3254222989.0,3562770580.0,464797832.0,6434734892.0,24767107749.0
- Tăng khác,Giá trị khấu hao lũy kế: > - Tăng khác,- Tăng khác,-,1.362.198.611,-,-,481.133.640,1.843.332.251,,1362198611.0,,,481133640.0,1843332251.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,33.424.465.367,8.086.551.207,15.633.063.089,3.442.650.133,12.554.740.201,73.141.469.997,33424465367.0,8086551207.0,15633063089.0,3442650133.0,12554740201.0,73141469997.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,553.519.337.969,3.785.991.261,10.933.813.082,637.574.787,6.202.965.750,575.079.682.849,553519337969.0,3785991261.0,10933813082.0,637574787.0,6202965750.0,575079682849.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,460.976.657.671,43.498.169.782,13.050.739.169,367.208.269,60.268.912.732,578.161.687.623,460976657671.0,43498169782.0,13050739169.0,367208269.0,60268912732.0,578161687623.0
