row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9)
Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty liên kết,Đặt cọc hợp tác đầu tư (i),452.617.690.000,452.617.690.000,,,452617690000.0,452617690000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,452.617.690.000,452.617.690.000,,,452617690000.0,452617690000.0
