row_label_raw,row_label_full,Bên tư vấn phát hành > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm(VND) > 239.039.489.415 > 227.672.191.111 > 197.969.479.929,Ngày đáo hạn > Gốc trái phiếu đáo hạn tháng 4 năm 2025. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 4 năm 2024. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"Lãi suất(%/năm) > 10,5% > 10,3%",Tái sản đảm bảo > 12.100.000 cổ phiếu phổ thông của Công ty được nấm giữ bởi bên thứ ba. > (vii) > 15.125.000 cổ phiếu phổ thông của Công ty được nấm giữ bởi bên thứ ba.,numeric__Số cuối năm(VND) > 239.039.489.415 > 227.672.191.111 > 197.969.479.929,numeric__Ngày đáo hạn > Gốc trái phiếu đáo hạn tháng 4 năm 2025. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 4 năm 2024. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"numeric__Lãi suất(%/năm) > 10,5% > 10,3%",numeric__Tái sản đảm bảo > 12.100.000 cổ phiếu phổ thông của Công ty được nấm giữ bởi bên thứ ba. > (vii) > 15.125.000 cổ phiếu phổ thông của Công ty được nấm giữ bởi bên thứ ba.
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,664.681.160.455,,,,664681160455.0,,,
Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,664.681.160.455,,,,664681160455.0,,,
