row_label_raw,row_label_full,31/12/2015,Dưới 1 năm VND > 31/12/2015,Từ 1-5 năm VND > 31/12/2015,Tổng cộng VND > 31/12/2015,numeric__Dưới 1 năm VND > 31/12/2015,numeric__Từ 1-5 năm VND > 31/12/2015,numeric__Tổng cộng VND > 31/12/2015
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,137.210.994.368,13.118.821.693.739,13.256.032.688.107,137210994368.0,13118821693739.0,13256032688107.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.071.640.259.730,42.443.988.193,1.114.084.247.923,1071640259730.0,42443988193.0,1114084247923.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,2.241.638.150.170,-,2.241.638.150.170,2241638150170.0,,2241638150170.0
Dự phòng phải trả,Dự phòng phải trả,Dự phòng phải trả,-,2.924.548.197.347,2.924.548.197.347,,2924548197347.0,2924548197347.0
,,,3.450.489.404.268,16.085.813.879.279,19.536.303.283.547,3450489404268.0,16085813879279.0,19536303283547.0
01/01/2015,01/01/2015,01/01/2015,01/01/2015,01/01/2015,01/01/2015,,,
Vay và nợ ngắn hạn,01/01/2015 > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,130.653.465.281,12.007.833.070.366,12.138.486.535.647,130653465281.0,12007833070366.0,12138486535647.0
Phải trả người bán và phải trả khác,01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.477.377.018.619,37.797.507.099,1.515.174.525.718,1477377018619.0,37797507099.0,1515174525718.0
Chi phí phải trả,01/01/2015 > Chi phí phải trả,Chi phí phải trả,2.486.550.630.847,-,2.486.550.630.847,2486550630847.0,,2486550630847.0
Dự phòng phải trả,01/01/2015 > Dự phòng phải trả,Dự phòng phải trả,-,3.435.000.000.000,3.435.000.000.000,,3435000000000.0,3435000000000.0
,,,4.094.581.114.747,15.480.630.577.465,19.575.211.692.212,4094581114747.0,15480630577465.0,19575211692212.0
