row_label_raw,row_label_full,Chỉ tiêu,Mã số,Trước điều chỉnh VND,Số năm 2014 Điều chỉnh VND,Sau điều chỉnh VND,numeric__Mã số,numeric__Trước điều chỉnh VND,numeric__Số năm 2014 Điều chỉnh VND,numeric__Sau điều chỉnh VND
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,321.939.231.747,-,321.939.231.747,31.0,321939231747.0,,321939231747.0
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,5.295.723.458.429,-,5.295.723.458.429,33.0,5295723458429.0,,5295723458429.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(148.522.338.976),-,(148.522.338.976),34.0,-148522338976.0,,-148522338976.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(280.607.453.975),-,(280.607.453.975),36.0,-280607453975.0,,-280607453975.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,5.188.532.897.225,-,5.188.532.897.225,40.0,5188532897225.0,,5188532897225.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,1.345.339.290.097,-,1.345.339.290.097,50.0,1345339290097.0,,1345339290097.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,1.850.443.508.168,-,1.850.443.508.168,60.0,1850443508168.0,,1850443508168.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,10.292.717.070,-,10.292.717.070,61.0,10292717070.0,,10292717070.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,3.206.075.515.335,-,3.206.075.515.335,70.0,3206075515335.0,,3206075515335.0
