row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốc VND,31/12/2015 > Dự phòng VND,31/12/2015 > Giá trị hợp lý VND,01/01/2015 > Giá gốc VND,01/01/2015 > Dự phòng VND,01/01/2015 > Giá tr,numeric__31/12/2015 > Giá gốc VND,numeric__31/12/2015 > Dự phòng VND,numeric__31/12/2015 > Giá trị hợp lý VND,numeric__01/01/2015 > Giá gốc VND,numeric__01/01/2015 > Dự phòng VND,numeric__01/01/2015 > Giá tr
- Các khoản đầu tư vào công ty con,- Các khoản đầu tư vào công ty con,- Các khoản đầu tư vào công ty con,808.648.080.000,-,808.648.080.000,813.748.080.000,-,813.748.,808648080000.0,,808648080000.0,813748080000.0,,813748.0
Công ty Cổ phần Dịch vụ hàng không sân bay Tân Sơn,Công ty Cổ phần Dịch vụ hàng không sân bay Tân Sơn,Công ty Cổ phần Dịch vụ hàng không sân bay Tân Sơn,670.650.000.000,-,670.650.000.000,670.650.000.000,-,670.650.,670650000000.0,,670650000000.0,670650000000.0,,670650.0
Nhất,Nhất,Nhất,,,,,,,,,,,,
Công ty Cổ phần Phục vụ Mật đất Sài gòn,Nhất > Công ty Cổ phần Phục vụ Mật đất Sài gòn,Công ty Cổ phần Phục vụ Mật đất Sài gòn,77.998.080.000,-,77.998.080.000,77.998.080.000,-,77.998.,77998080000.0,,77998080000.0,77998080000.0,,77998.0
Công ty Cổ phần Dịch vụ nhiên liệu hàng không,Nhất > Công ty Cổ phần Dịch vụ nhiên liệu hàng không,Công ty Cổ phần Dịch vụ nhiên liệu hàng không,60.000.000.000,-,60.000.000.000,60.000.000.000,-,60.000.,60000000000.0,,60000000000.0,60000000000.0,,60000.0
Nội Bài,Nội Bài,Nội Bài,,,,,,,,,,,,
Công ty Cổ phần Thương mại Hàng không,Nội Bài > Công ty Cổ phần Thương mại Hàng không,Công ty Cổ phần Thương mại Hàng không,-,-,-,5.100.000.000,-,5.100.,,,,5100000000.0,,5100.0
Cam Ranh,Cam Ranh,Cam Ranh,,,,,,,,,,,,
"- Các khoản đầu tư vào công ty liên doanh, liên kết","Cam Ranh > - Các khoản đầu tư vào công ty liên doanh, liên kết","- Các khoản đầu tư vào công ty liên doanh, liên kết",113.280.000.000,-,113.280.000.000,33.280.000.000,-,33.280,113280000000.0,,113280000000.0,33280000000.0,,33280.0
Công ty Cổ phần Dịch vụ hàng hóa Hàng không,Cam Ranh > Công ty Cổ phần Dịch vụ hàng hóa Hàng không,Công ty Cổ phần Dịch vụ hàng hóa Hàng không,50.000.000.000,-,50.000.000.000,-,-,,50000000000.0,,50000000000.0,,,
Công ty Cổ phần Phục vụ mặt đất Hà Nội,Cam Ranh > Công ty Cổ phần Phục vụ mặt đất Hà Nội,Công ty Cổ phần Phục vụ mặt đất Hà Nội,30.000.000.000,-,30.000.000.000,-,-,,30000000000.0,,30000000000.0,,,
Công ty TNHH Dịch vụ Bảo dưỡng máy bay,Cam Ranh > Công ty TNHH Dịch vụ Bảo dưỡng máy bay,Công ty TNHH Dịch vụ Bảo dưỡng máy bay,15.300.000.000,-,15.300.000.000,15.300.000.000,-,15.300.,15300000000.0,,15300000000.0,15300000000.0,,15300.0
Miền Nam,Miền Nam,Miền Nam,,,,,,,,,,,,
Công ty Cổ phần Vận tải Hàng không miền Nam,Miền Nam > Công ty Cổ phần Vận tải Hàng không miền Nam,Công ty Cổ phần Vận tải Hàng không miền Nam,13.050.000.000,-,13.050.000.000,13.050.000.000,-,13.050.,13050000000.0,,13050000000.0,13050000000.0,,13050.0
Công ty Cổ phần Thương mại Hàng không,Miền Nam > Công ty Cổ phần Thương mại Hàng không,Công ty Cổ phần Thương mại Hàng không,4.930.000.000,-,4.930.000.000,4.930.000.000,-,4.930.,4930000000.0,,4930000000.0,4930000000.0,,4930.0
Miền Nam,Miền Nam,Miền Nam,,,,,,,,,,,,
- Đầu tư dài hạn khác,Miền Nam > - Đầu tư dài hạn khác,- Đầu tư dài hạn khác,110.940.000.000,-,110.940.000.000,75.000.000.000,-,75.000,110940000000.0,,110940000000.0,75000000000.0,,75000.0
Công ty Cổ phần dịch vụ hàng hóa Sài Gòn,Miền Nam > Công ty Cổ phần dịch vụ hàng hóa Sài Gòn,Công ty Cổ phần dịch vụ hàng hóa Sài Gòn,75.000.000.000,-,75.000.000.000,75.000.000.000,-,75.000.,75000000000.0,,75000000000.0,75000000000.0,,75000.0
Công ty Cổ phần đầu tư khai thác nhà ga Quốc tế Đà Nẵng,Miền Nam > Công ty Cổ phần đầu tư khai thác nhà ga Quốc tế Đà Nẵng,Công ty Cổ phần đầu tư khai thác nhà ga Quốc tế Đà Nẵng,30.000.000.000,-,30.000.000.000,-,-,,30000000000.0,,30000000000.0,,,
Công ty Cổ phần Đầu Tư TCP,Miền Nam > Công ty Cổ phần Đầu Tư TCP,Công ty Cổ phần Đầu Tư TCP,5.940.000.000,-,5.940.000.000,-,-,,5940000000.0,,5940000000.0,,,
