row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2015 VND,Năm 2014 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015 VND,numeric__Năm 2014 VND
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,-,321.939.231.747,31.0,,,321939231747.0
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,,603.046.904.891,5.295.723.458.429,33.0,,603046904891.0,5295723458429.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(124.129.882.545),(148.522.338.976),34.0,,-124129882545.0,-148522338976.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(1.345.874.480.669),(280.607.453.975),36.0,,-1345874480669.0,-280607453975.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(866.957.458.323),5.188.532.897.225,40.0,,-866957458323.0,5188532897225.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,670.887.380.103,1.345.339.290.097,50.0,,670887380103.0,1345339290097.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,4,3.206.075.515.335,1.850.443.508.168,60.0,4.0,3206075515335.0,1850443508168.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,2.130.237.200,10.292.717.070,61.0,,2130237200.0,10292717070.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,4,3.879.093.132.638,3.206.075.515.335,70.0,4.0,3879093132638.0,3206075515335.0
