row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015 > VND,01/01/2015 > VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 > VND,numeric__01/01/2015 > VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,20.554.289.138.243,17.821.410.129.516,100.0,,20554289138243.0,17821410129516.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,3.879.093.132.638,3.206.075.515.335,110.0,4.0,3879093132638.0,3206075515335.0
Tiền,Tiền,Tiền,111,,3.879.093.132.638,3.206.075.515.335,111.0,,3879093132638.0,3206075515335.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,12.682.900.000.000,10.523.400.000.000,120.0,,12682900000000.0,10523400000000.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,,12.682.900.000.000,10.523.400.000.000,123.0,,12682900000000.0,10523400000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.263.885.676.487,3.327.667.212.387,130.0,,3263885676487.0,3327667212387.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5,1.315.064.173.813,911.265.236.781,131.0,5.0,1315064173813.0,911265236781.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,6,1.425.620.791.333,1.609.138.238.349,132.0,6.0,1425620791333.0,1609138238349.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,7,523.227.380.141,807.521.703.757,136.0,7.0,523227380141.0,807521703757.0
Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,137,,(26.668.800),(257.966.500),137.0,,-26668800.0,-257966500.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,8,450.191.906.756,290.513.084.102,140.0,8.0,450191906756.0,290513084102.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,450.191.906.756,290.513.084.102,141.0,,450191906756.0,290513084102.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,278.218.422.362,473.754.317.692,150.0,,278218422362.0,473754317692.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,9,30.186.920.278,3.218.409.293,151.0,9.0,30186920278.0,3218409293.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,16,153.950.579.049,451.112.237.240,152.0,16.0,153950579049.0,451112237240.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,16,94.080.923.035,19.423.671.159,153.0,16.0,94080923035.0,19423671159.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,22.759.654.670.350,24.016.987.618.787,200.0,,22759654670350.0,24016987618787.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,50.000.000,50.000.000,210.0,,50000000.0,50000000.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,5,26.349.068.513,26.375.737.313,211.0,5.0,26349068513.0,26375737313.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,7,50.000.000,272.450.000.000,216.0,7.0,50000000.0,272450000000.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,219,,(26.349.068.513),(298.775.737.313),219.0,,-26349068513.0,-298775737313.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,20.279.376.923.612,20.640.978.667.188,220.0,,20279376923612.0,20640978667188.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,10,20.243.759.711.257,20.593.675.329.254,221.0,10.0,20243759711257.0,20593675329254.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,36.415.770.346.869,33.574.831.815.011,222.0,,36415770346869.0,33574831815011.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(16.172.010.635.612),(12.981.156.485.757),223.0,,-16172010635612.0,-12981156485757.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,11,35.617.212.355,47.303.337.934,227.0,11.0,35617212355.0,47303337934.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,122.661.471.582,118.594.362.566,228.0,,122661471582.0,118594362566.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(87.044.259.227),(71.291.024.632),229.0,,-87044259227.0,-71291024632.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,12,1.018.621.806.411,2.067.388.925.557,240.0,12.0,1018621806411.0,2067388925557.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,1.018.621.806.411,2.067.388.925.557,242.0,,1018621806411.0,2067388925557.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,13,1.032.868.080.000,922.028.080.000,250.0,13.0,1032868080000.0,922028080000.0
