row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2015VND,Giá trị ghi số > 01/01/2015VND,numeric__Giá trị ghi số > 31/12/2015VND,numeric__Giá trị ghi số > 01/01/2015VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.879.093.132.638,3.206.075.515.335,3879093132638.0,3206075515335.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,12.682.900.000.000,10.523.400.000.000,12682900000000.0,10523400000000.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.723.010.499.525,1.587.155.433.532,1723010499525.0,1587155433532.0
Cộng,Tài sản tài chính > Cộng,Cộng,18.285.003.632.163,15.316.630.948.867,18285003632163.0,15316630948867.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,13.256.032.688.107,12.138.486.535.647,13256032688107.0,12138486535647.0
Phải trả người bán và phải trả khác,Nợ phải trả tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.114.084.247.923,1.515.174.525.718,1114084247923.0,1515174525718.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,2.241.638.150.170,2.486.550.630.847,2241638150170.0,2486550630847.0
Dự phòng phải trả,Nợ phải trả tài chính > Dự phòng phải trả,Dự phòng phải trả,2.924.548.197.347,3.435.000.000.000,2924548197347.0,3435000000000.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,19.536.303.283.547,19.575.211.692.212,19536303283547.0,19575211692212.0
Trạng thái ròng,Nợ phải trả tài chính > Trạng thái ròng,Trạng thái ròng,(1.251.299.651.384),(4.258.580.743.345),-1251299651384.0,-4258580743345.0
