row_label_raw,row_label_full,col_0,Năm 2015VND,Năm 2014VND,numeric__Năm 2015VND,numeric__Năm 2014VND
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",758.763.254.541,855.053.430.249,758763254541.0,855053430249.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",17.542.008.000,36.825.569.717,17542008000.0,36825569717.0
Lãi chênh lệch tỷ giá đã thực hiện,Lãi chênh lệch tỷ giá đã thực hiện,Lãi chênh lệch tỷ giá đã thực hiện,93.545.418.932,47.513.547.642,93545418932.0,47513547642.0
Lãi chênh lệch tỷ giá chưa thực hiện,Lãi chênh lệch tỷ giá chưa thực hiện,Lãi chênh lệch tỷ giá chưa thực hiện,-,1.482.595.206.545,,1482595206545.0
Thu nhập từ việc thoái vốn tại Công ty Cổ phần,Thu nhập từ việc thoái vốn tại Công ty Cổ phần,Thu nhập từ việc thoái vốn tại Công ty Cổ phần,26.105.000.000,-,26105000000.0,
Thương mại Hàng không Cam Ranh,Thương mại Hàng không Cam Ranh,Thương mại Hàng không Cam Ranh,,,,
Doanh thu hoạt động tài chính khác,Thương mại Hàng không Cam Ranh > Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,-,1.848.861.000,,1848861000.0
,,,895.955.681.473,2.423.836.615.153,895955681473.0,2423836615153.0
Doanh thu hoạt động tài chính với các bên liên quan,Doanh thu hoạt động tài chính với các bên liên quan,Doanh thu hoạt động tài chính với các bên liên quan,Doanh thu hoạt động tài chính với các bên liên quan,Doanh thu hoạt động tài chính với các bên liên quan,,
Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Son Nhất,Doanh thu hoạt động tài chính với các bên liên quan > Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Son Nhất,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Son Nhất,-,74.109.352.712,,74109352712.0
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Doanh thu hoạt động tài chính với các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,7.799.808.000,44.995.696.009,7799808000.0,44995696009.0
Công ty Cổ phần Thương mại Hàng không Miền Nam,Doanh thu hoạt động tài chính với các bên liên quan > Công ty Cổ phần Thương mại Hàng không Miền Nam,Công ty Cổ phần Thương mại Hàng không Miền Nam,1.183.200.000,-,1183200000.0,
Công ty TNHH Bảo dưỡng Máy bay hàng không Miền Nam,Doanh thu hoạt động tài chính với các bên liên quan > Công ty TNHH Bảo dưỡng Máy bay hàng không Miền Nam,Công ty TNHH Bảo dưỡng Máy bay hàng không Miền Nam,2.550.000.000,1.530.000.000,2550000000.0,1530000000.0
Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Doanh thu hoạt động tài chính với các bên liên quan > Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,3.000.000.000,-,3000000000.0,
,,,14.533.008.000,120.635.048.721,14533008000.0,120635048721.0
