row_label_raw,row_label_full,Chỉ tiêu,Mã số,Trước điều chỉnh VND,Năm 2014 Điều chỉnh VND,Sau điều chỉnh VND,numeric__Mã số,numeric__Trước điều chỉnh VND,numeric__Năm 2014 Điều chỉnh VND,numeric__Sau điều chỉnh VND
Lưu chuyển tiền từ hoạt động kinh doanh Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh Lợi nhuận trước thuế,01,3.174.371.467.936,(16.070.132.334),3.158.301.335.602,1.0,3174371467936.0,-16070132334.0,3158301335602.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,,,
Khấu hao TSCĐ và BĐSDT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSDT,Khấu hao TSCĐ và BĐSDT,02,2.073.421.572.848,-,2.073.421.572.848,2.0,2073421572848.0,,2073421572848.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(61.062.170.277),-,(61.062.170.277),3.0,-61062170277.0,,-61062170277.0
"Lãi, lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản > Lãi, lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ các khoản chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,(1.480.932.158.801),-,(1.480.932.158.801),4.0,-1480932158801.0,,-1480932158801.0
"Lãi, lỗ từ hoạt động đầu tư","Điều chỉnh cho các khoản > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,(981.220.881.584),-,(981.220.881.584),5.0,-981220881584.0,,-981220881584.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,64.436.773.101,-,64.436.773.101,6.0,64436773101.0,,64436773101.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.789.014.603.223,(16.070.132.334),2.772.944.470.889,8.0,2789014603223.0,-16070132334.0,2772944470889.0
"Tăng, giảm các khoản phải thu","Điều chỉnh cho các khoản > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,2.304.093.831.117,52.531.924.313,2.356.625.755.430,9.0,2304093831117.0,52531924313.0,2356625755430.0
"Tăng, giảm hàng tồn kho","Điều chỉnh cho các khoản > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,(38.087.049.794),-,(38.087.049.794),10.0,-38087049794.0,,-38087049794.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Điều chỉnh cho các khoản > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(1.492.991.761.696),(24.378.598.812),(1.517.370.360.508),11.0,-1492991761696.0,-24378598812.0,-1517370360508.0
"Tăng, giảm chi phí trả trước","Điều chỉnh cho các khoản > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,8.084.451.541,-,8.084.451.541,12.0,8084451541.0,,8084451541.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(68.254.683.432),-,(68.254.683.432),14.0,-68254683432.0,,-68254683432.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(888.650.784.536),-,(888.650.784.536),15.0,-888650784536.0,,-888650784536.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,2.375.063,-,2.375.063,16.0,2375063.0,,2375063.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(254.944.768.215),(16.011.236.502),(270.956.004.717),17.0,-254944768215.0,-16011236502.0,-270956004717.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.358.266.213.271,(3.928.043.335),2.354.338.169.936,20.0,2358266213271.0,-3928043335.0,2354338169936.0
