row_label_raw,row_label_full,Giá trị còn lại tài sản góp vốn,Năm 2015VND > 21.441.117.027,Năm 2014VND > -,numeric__Năm 2015VND > 21.441.117.027,numeric__Năm 2014VND > -
Chi phí khấu hao Tài sản cố định không sử dụng,Chi phí khấu hao Tài sản cố định không sử dụng,Chi phí khấu hao Tài sản cố định không sử dụng,1.787.596.413,-,1787596413.0,
"Giá trị còn lại và chi phí thanh lý, nhượng bán tài sản cố định","Giá trị còn lại và chi phí thanh lý, nhượng bán tài sản cố định","Giá trị còn lại và chi phí thanh lý, nhượng bán tài sản cố định",-,256.419.453,,256419453.0
Chi phí phạt và lãi chậm nộp,Chi phí phạt và lãi chậm nộp,Chi phí phạt và lãi chậm nộp,294.031.580,18.400.545.324,294031580.0,18400545324.0
Chi phí hồ sơ thầu,Chi phí hồ sơ thầu,Chi phí hồ sơ thầu,132.363.637,282.517.638,132363637.0,282517638.0
Chi phí thuê (đóng mã số thuê TCT Cảng hàng không miền Bắc),Chi phí thuê (đóng mã số thuê TCT Cảng hàng không miền Bắc),Chi phí thuê (đóng mã số thuê TCT Cảng hàng không miền Bắc),-,16.914.077.941,,16914077941.0
Kết chuyển chi phí các công trình,Kết chuyển chi phí các công trình,Kết chuyển chi phí các công trình,-,3.393.254.198,,3393254198.0
Phí bảo lãnh khoản vay nhập khẩu Máy móc thiết bị nhà ga T1 Nội Bài,Phí bảo lãnh khoản vay nhập khẩu Máy móc thiết bị nhà ga T1 Nội Bài,Phí bảo lãnh khoản vay nhập khẩu Máy móc thiết bị nhà ga T1 Nội Bài,-,26.863.675.916,,26863675916.0
Chi phí khác,Chi phí khác,Chi phí khác,7.582.118.365,1.810.369.010,7582118365.0,1810369010.0
,,,31.237.227.022,67.920.859.480,31237227022.0,67920859480.0
