row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,"Phương tiện vận tải, truyền dẫn VND",Thiết bị dụng cụ quản lý VND,Cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,"numeric__Phương tiện vận tải, truyền dẫn VND",numeric__Thiết bị dụng cụ quản lý VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
01/01/2015,NGUYÊN GIÁ > 01/01/2015,01/01/2015,20.404.612.296.745,11.690.014.664.173,1.452.732.286.675,27.472.567.418,33.574.831.815.011,20404612296745.0,11690014664173.0,1452732286675.0,27472567418.0,33574831815011.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,1.264.027.186,853.067.927.573,179.555.936.332,528.813.111,1.034.416.704.202,1264027186.0,853067927573.0,179555936332.0,528813111.0,1034416704202.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,2.112.059.159.419,-,-,-,2.112.059.159.419,2112059159419.0,,,,2112059159419.0
- Tăng do đánh giá lại tài sản để xác định giá trị doanh nghiệp,NGUYÊN GIÁ > - Tăng do đánh giá lại tài sản để xác định giá trị doanh nghiệp,- Tăng do đánh giá lại tài sản để xác định giá trị doanh nghiệp,42.483.329.840,-,-,-,42.483.329.840,42483329840.0,,,,42483329840.0
"- Đầu tư vào Công ty liên doanh, liên kết","NGUYÊN GIÁ > - Đầu tư vào Công ty liên doanh, liên kết","- Đầu tư vào Công ty liên doanh, liên kết",(20.742.072.743),(2.627.863.718),(77.276.711.327),(317.942.566),(100.964.590.354),-20742072743.0,-2627863718.0,-77276711327.0,-317942566.0,-100964590354.0
- Tăng/giảm do phân loại lại TSCĐ,NGUYÊN GIÁ > - Tăng/giảm do phân loại lại TSCĐ,- Tăng/giảm do phân loại lại TSCĐ,(46.038.038.833),(25.154.558.858),1.740.930.467,69.451.667.224,-,-46038038833.0,-25154558858.0,1740930467.0,69451667224.0,
- Bàn giao cho Công ty TNHH Mua bán nợ Việt Nam,NGUYÊN GIÁ > - Bàn giao cho Công ty TNHH Mua bán nợ Việt Nam,- Bàn giao cho Công ty TNHH Mua bán nợ Việt Nam,(17.315.705.279),(60.668.227.314),(7.941.341.107),(1.226.655.380),(87.151.929.080),-17315705279.0,-60668227314.0,-7941341107.0,-1226655380.0,-87151929080.0
- Bàn giao cho Công đoàn,NGUYÊN GIÁ > - Bàn giao cho Công đoàn,- Bàn giao cho Công đoàn,(3.771.379.113),-,-,-,(3.771.379.113),-3771379113.0,,,,-3771379113.0
"- Giảm do thanh lý, chuyển nhượng,thu hồi đất, phá dỗ, thay thế","NGUYÊN GIÁ > - Giảm do thanh lý, chuyển nhượng,thu hồi đất, phá dỗ, thay thế","- Giảm do thanh lý, chuyển nhượng,thu hồi đất, phá dỗ, thay thế",(89.818.881.752),(41.998.212.294),(23.137.860.905),(1.107.513.105),(156.062.468.056),-89818881752.0,-41998212294.0,-23137860905.0,-1107513105.0,-156062468056.0
- Bàn giao cho Tổng Công ty Quản lý Bay Việt Nam- Công ty TNHH,NGUYÊN GIÁ > - Bàn giao cho Tổng Công ty Quản lý Bay Việt Nam- Công ty TNHH,- Bàn giao cho Tổng Công ty Quản lý Bay Việt Nam- Công ty TNHH,-,(70.295.000),-,-,(70.295.000),,-70295000.0,,,-70295000.0
31/12/2015,NGUYÊN GIÁ > 31/12/2015,31/12/2015,22.382.732.735.470,12.412.563.434.562,1.525.673.240.135,94.800.936.702,36.415.770.346.869,22382732735470.0,12412563434562.0,1525673240135.0,94800936702.0,36415770346869.0
