row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Nguồn vốn đầu tư xây dựng cơ bản,Quỹ hỗ trợ sắp xếp doanh nghiệp,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Nguồn vốn đầu tư xây dựng cơ bản,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
01/01/2014,01/01/2014,01/01/2014,10.610.862.860.436,-,439.565.419.365,1.804.257.929.986,4.082.582.139.564,562.335.044,16.937.830.684.395,10610862860436.0,,439565419365.0,1804257929986.0,4082582139564.0,562335044.0,16937830684395.0
- Tăng vốn trong năm,- Tăng vốn trong năm,- Tăng vốn trong năm,5.199.532.349.233,-,(795.010.977.922),-,(4.404.521.371.311),758.151.301,758.151.301,5199532349233.0,,-795010977922.0,,-4404521371311.0,758151301.0,758151301.0
- Tăng vốn đầu tư XDCB từ NSNN,- Tăng vốn đầu tư XDCB từ NSNN,- Tăng vốn đầu tư XDCB từ NSNN,-,,-,-,321.939.231.747,-,321.939.231.747,,,,,321939231747.0,,321939231747.0
- Lãi trong năm,- Lãi trong năm,- Lãi trong năm,-,-,,2.446.002.686.869,-,-,2.446.002.686.869,,,,2446002686869.0,,,2446002686869.0
- Điều chỉnh phần vốn góp vào đơn vị khác,- Điều chỉnh phần vốn góp vào đơn vị khác,- Điều chỉnh phần vốn góp vào đơn vị khác,464.034.980.885,-,,,,,464.034.980.885,464034980885.0,,,,,,464034980885.0
- Tiền thu bán cổ phần của Công ty Cổ phần DVHK Sân bay Tân Sơn Nhất,- Tiền thu bán cổ phần của Công ty Cổ phần DVHK Sân bay Tân Sơn Nhất,- Tiền thu bán cổ phần của Công ty Cổ phần DVHK Sân bay Tân Sơn Nhất,-,-,-,-,-,345.557.229.524,345.557.229.524,,,,,,345557229524.0,345557229524.0
- Truy thu thuế TNDN phải nộp,- Truy thu thuế TNDN phải nộp,- Truy thu thuế TNDN phải nộp,-,-,-,(19.355.368.035),-,-,(19.355.368.035),,,,-19355368035.0,,,-19355368035.0
- Phân phối lợi nhuận năm 2014,- Phân phối lợi nhuận năm 2014,- Phân phối lợi nhuận năm 2014,-,-,355.445.558.557,(738.480.489.566),-,-,(383.034.931.009),,,355445558557.0,-738480489566.0,,,-383034931009.0
- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,-,-,-,(594.971.281.730),-,-,(594.971.281.730),,,,-594971281730.0,,,-594971281730.0
- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận và quỹ thu từ các công ty con,- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận và quỹ thu từ các công ty con,- Tăng quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận và quỹ thu từ các công ty con,-,-,-,-,-,134.803.998.525,134.803.998.525,,,,,,134803998525.0,134803998525.0
31/12/2014,31/12/2014,31/12/2014,16.274.430.190.554,-,-,2.897.453.477.524,-,481.681.714.394,19.653.565.382.472,16274430190554.0,,,2897453477524.0,,481681714394.0,19653565382472.0
