row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ > VND,Bán hàng > VND,Tổng cộng toàn Tổng Công ty VND,numeric__Dịch vụ > VND,numeric__Bán hàng > VND,numeric__Tổng cộng toàn Tổng Công ty VND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,9.774.586.161.048,1.096.012.950.088,10.870.599.111.136,9774586161048.0,1096012950088.0,10870599111136.0
Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,9.774.586.161.048,1.096.012.950.088,10.870.599.111.136,9774586161048.0,1096012950088.0,10870599111136.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
- Giá vốn hàng bán,Chi phí bộ phận > - Giá vốn hàng bán,- Giá vốn hàng bán,7.535.345.655.291,766.728.894.116,8.302.074.549.407,7535345655291.0,766728894116.0,8302074549407.0
- Chi phí bán hàng,Chi phí bộ phận > - Chi phí bán hàng,- Chi phí bán hàng,,30.777.013.120,30.777.013.120,,30777013120.0,30777013120.0
Kết quả kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,2.239.240.505.757,298.507.042.852,2.537.747.548.609,2239240505757.0,298507042852.0,2537747548609.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,
Chi phí quản lý doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,654.187.283.532,,,654187283532.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,895.955.681.473,,,895955681473.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,751.756.961.865,,,751756961865.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,74.919.699.649,,,74919699649.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,31.237.227.022,,,31237227022.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,461.101.135.088,,,461101135088.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,(36.979.763.531),,,-36979763531.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.647.320.085.755,,,1647320085755.0
Tài sản không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,43.313.943.808.593,,,43313943808593.0
Nợ phải trả không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,23.547.397.188.707,,,23547397188707.0
