row_label_raw,row_label_full,col_0,01/01/2015VND,Số phải nộptrong nămVND,Số đã thực nộptrong nămVND,31/12/2015VND,numeric__01/01/2015VND,numeric__Số phải nộptrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__31/12/2015VND
Thế và các khoản phải nộp,Thế và các khoản phải nộp,Thế và các khoản phải nộp,856.359.764.053,"2,567.411.817.565","2,792.690.176.365",633.998.252.075,856359764053.0,2.567411817565,2.792690176365,633998252075.0
• Thế giá trị giá tăng,• Thế giá trị giá tăng,• Thế giá trị giá tăng,1.410.572.146,601.977.528.444,594.350.619.029,9.037.481.561,1410572146.0,601977528444.0,594350619029.0,9037481561.0
"• Thế xuất, nonprofit khuả","• Thế xuất, nonprofit khuả","• Thế xuất, nonprofit khuả",,489.297.980,489.297.980,-,,489297980.0,489297980.0,
• Thế thu nhập douth nghiệp,• Thế thu nhập douth nghiệp,• Thế thu nhập douth nghiệp,573.774.525.506,461.102.968.128,837.015.026.265,197.862.467.369,573774525506.0,461102968128.0,837015026265.0,197862467369.0
• Thế tải nguyên,• Thế tải nguyên,• Thế tải nguyên,94.507.587,1.160.480.969,1.134.829.471,120.159.085,94507587.0,1160480969.0,1134829471.0,120159085.0
"• Phú, lệ phí và các khoản phải nộp khuả","• Phú, lệ phí và các khoản phải nộp khuả","• Phú, lệ phí và các khoản phải nộp khuả",281.080.158.814,1.502.681.542.044,1.359.700.403.620,424.061.297.238,281080158814.0,1502681542044.0,1359700403620.0,424061297238.0
• Lift jurisdictions nộp ngân sách,• Lift jurisdictions nộp ngân sách,• Lift jurisdictions nộp ngân sách,280.903.142.148,1.488.987.057.909,1.345.874.480.669,424.015.719.388,280903142148.0,1488987057909.0,1345874480669.0,424015719388.0
• Các (:khoản phải nộp khuả),• Các (:khoản phải nộp khuả),• Các (:khoản phải nộp khuả),177.016.666,13.694.484.135,13.825.922.951,45.577.850,177016666.0,13694484135.0,13825922951.0,45577850.0
• Thế thu nhập責 nhân,• Thế thu nhập責 nhân,• Thế thu nhập責 nhân,-,18.332.792.201,15.415.945.379,2.916.846.822,,18332792201.0,15415945379.0,2916846822.0
Thế giá trị giá tăng được khuả trị,Thế giá trị giá tăng được khuả trị,Thế giá trị giá tăng được khuả trị,451.112.237.240,656.287.225.885,953.448.884.076,153.950.579.049,451112237240.0,656287225885.0,953448884076.0,153950579049.0
Thế và các khoản phải thu,Thế và các khoản phải thu,Thế và các khoản phải thu,19.423.671.159,118.243.782.583,192.879.982.673,94.080.923.035,19423671159.0,118243782583.0,192879982673.0,94080923035.0
• Thế thu nhập責 nhân,• Thế thu nhập責 nhân,• Thế thu nhập責 nhân,18.973.814.019,98.693.427.535,172.470.173.425,92.750.559.909,18973814019.0,98693427535.0,172470173425.0,92750559909.0
"• Thế -:khoản,plus tinh thu đất","• Thế -:khoản,plus tinh thu đất","• Thế -:khoản,plus tinh thu đất",449.857.140,19.550.355.048,20.409.809.248,1.309.311.340,449857140.0,19550355048.0,20409809248.0,1309311340.0
"• Phú, lệ phí và các khoản phải nộp khuả","• Phú, lệ phí và các khoản phải nộp khuả","• Phú, lệ phí và các khoản phải nộp khuả",-,1.147.959.262,1.169.011.048,21.051.786,,1147959262.0,1169011048.0,21051786.0
