row_label_raw,row_label_full,TÀI SẢN,Mã số,Trước điều chỉnh VND,Điều chỉnh VND,Sau điều chỉnh VND,numeric__Mã số,numeric__Trước điều chỉnh VND,numeric__Điều chỉnh VND,numeric__Sau điều chỉnh VND
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,17.783.600.386.351,37.809.743.165,17.821.410.129.516,100.0,17783600386351.0,37809743165.0,17821410129516.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,3.206.075.515.335,-,3.206.075.515.335,110.0,3206075515335.0,,3206075515335.0
Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,120,10.523.400.000.000,-,10.523.400.000.000,120.0,10523400000000.0,,10523400000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,3.288.121.943.520,39.545.268.867,3.327.667.212.387,130.0,3288121943520.0,39545268867.0,3327667212387.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,131,938.136.628.160,(26.871.391.379),911.265.236.781,131.0,938136628160.0,-26871391379.0,911265236781.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,132,1.623.983.657.735,(14.845.419.386),1.609.138.238.349,132.0,1623983657735.0,-14845419386.0,1609138238349.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,136,1.025.035.361.438,(217.513.657.681),807.521.703.757,136.0,1025035361438.0,-217513657681.0,807521703757.0
Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,137,(299.033.703.813),298.775.737.313,(257.966.500),137.0,-299033703813.0,298775737313.0,-257966500.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,288.285.662.526,2.227.421.576,290.513.084.102,140.0,288285662526.0,2227421576.0,290513084102.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,288.285.662.526,2.227.421.576,290.513.084.102,141.0,288285662526.0,2227421576.0,290513084102.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,477.717.264.970,(3.962.947.278),473.754.317.692,150.0,477717264970.0,-3962947278.0,473754317692.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,2.465.312.538,753.096.755,3.218.409.293,151.0,2465312538.0,753096755.0,3218409293.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,452.810.650.122,(1.698.412.882),451.112.237.240,152.0,452810650122.0,-1698412882.0,451112237240.0
Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,Thuế và các khoản khác phải thu,153,19.778.997.106,(355.325.947),19.423.671.159,153.0,19778997106.0,-355325947.0,19423671159.0
Nhà nước,Nhà nước,Nhà nước,,,,,,,,
Tài sản ngắn hạn khác,Nhà nước > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,2.662.305.204,(2.662.305.204),-,155.0,2662305204.0,-2662305204.0,
TÀI SẢN DÀI HẠN,Nhà nước > TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,24.024.246.541.449,(7.258.922.662),24.016.987.618.787,200.0,24024246541449.0,-7258922662.0,24016987618787.0
Các khoản phải thu dài hạn,Nhà nước > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,-,50.000.000,50.000.000,210.0,,50000000.0,50000000.0
Phải thu dài hạn của khách hàng,Nhà nước > Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,-,26.375.737.313,26.375.737.313,211.0,,26375737313.0,26375737313.0
Phải thu dài hạn khác,Nhà nước > Phải thu dài hạn khác,Phải thu dài hạn khác,216,-,272.450.000.000,272.450.000.000,216.0,,272450000000.0,272450000000.0
Dự phòng phải thu dài hạn khó đòi,Nhà nước > Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,219,-,(298.775.737.313),(298.775.737.313),219.0,,-298775737313.0,-298775737313.0
Tài sản cố định,Nhà nước > Tài sản cố định,Tài sản cố định,220,22.704.849.050.232,3.518.542.513,20.640.978.667.188,220.0,22704849050232.0,3518542513.0,20640978667188.0
Tài sản cố định hữu hình,Nhà nước > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,20.589.828.677.249,3.846.652.005,20.593.675.329.254,221.0,20589828677249.0,3846652005.0,20593675329254.0
- Nguyên giá,Nhà nước > - Nguyên giá,- Nguyên giá,222,33.568.751.687.611,6.080.127.400,33.574.831.815.011,222.0,33568751687611.0,6080127400.0,33574831815011.0
- Giá trị hao mòn luỹ kế,Nhà nước > - Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,(12.978.923.010.362),(2.233.475.395),(12.981.156.485.757),223.0,-12978923010362.0,-2233475395.0,-12981156485757.0
Tài sản cố định vô hình,Nhà nước > Tài sản cố định vô hình,Tài sản cố định vô hình,227,47.303.337.934,-,47.303.337.934,227.0,47303337934.0,,47303337934.0
Chi phí xây dựng cơ bản dở dang,Nhà nước > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,2.067.717.035.049,(328.109.492),2.067.388.925.557,242.0,2067717035049.0,-328109492.0,2067388925557.0
Các khoản đầu tư tài chính dài hạn,Nhà nước > Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,250,922.028.080.000,-,922.028.080.000,250.0,922028080000.0,,922028080000.0
Tài sản dài hạn khác,Nhà nước > Tài sản dài hạn khác,Tài sản dài hạn khác,260,397.369.411.217,(10.827.465.175),386.541.946.042,260.0,397369411217.0,-10827465175.0,386541946042.0
Chi phí trả trước dài hạn,Nhà nước > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,40.023.338.113,(753.096.755),39.270.241.358,261.0,40023338113.0,-753096755.0,39270241358.0
Tài sản thuế thu nhập hoãn lại,Nhà nước > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,357.296.073.104,(10.024.368.420),347.271.704.684,262.0,357296073104.0,-10024368420.0,347271704684.0
Tài sản dài hạn khác,Nhà nước > Tài sản dài hạn khác,Tài sản dài hạn khác,268,50.000.000,(50.000.000),-,268.0,50000000.0,-50000000.0,
TỔNG TÀI SẢN,Nhà nước > TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,41.807.846.927.800,30.550.820.503,41.838.397.748.303,270.0,41807846927800.0,30550820503.0,41838397748303.0
