row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Chênh lệch đánh giá lại tài sản VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Quỹ hỗ trợ sắp xếp doanh nghiệp VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp VND,numeric__Cộng VND
01/01/2015,01/01/2015,01/01/2015,16.274.430.190.554,-,-,2.897.453.477.524,-,481.681.714.394,19.653.565.382.472,16274430190554.0,,,2897453477524.0,,481681714394.0,19653565382472.0
- Tăng vốn từ Đầu tư xây dựng cơ bản hoàn thành,- Tăng vốn từ Đầu tư xây dựng cơ bản hoàn thành,- Tăng vốn từ Đầu tư xây dựng cơ bản hoàn thành,252.355.652.403,-,-,-,(252.355.652.403),-,-,252355652403.0,,,,-252355652403.0,,
- Tăng vốn từ Ngân sách nhà nước cấp,- Tăng vốn từ Ngân sách nhà nước cấp,- Tăng vốn từ Ngân sách nhà nước cấp,150.000.000,-,-,-,252.355.652.403,-,252.505.652.403,150000000.0,,,,252355652403.0,,252505652403.0
- Lãi trong năm,- Lãi trong năm,- Lãi trong năm,-,-,-,1.647.320.085.755,-,3.615.764.969,1.650.935.850.724,,,,1647320085755.0,,3615764969.0,1650935850724.0
- Bàn giao tài sản cho Công ty TNHH Mua bán nợ Việt Nam,- Bàn giao tài sản cho Công ty TNHH Mua bán nợ Việt Nam,- Bàn giao tài sản cho Công ty TNHH Mua bán nợ Việt Nam,(274.398.701.538),272.400.000.000,-,-,-,-,(1.998.701.538),-274398701538.0,272400000000.0,,,,,-1998701538.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,840.732.170.808,(1.313.453.511.448),-,-,(472.721.340.640),,,840732170808.0,-1313453511448.0,,,-472721340640.0
+ Năm 2014,+ Năm 2014,+ Năm 2014,-,-,346.536.145.081,(346.536.145.081),-,-,-,,,346536145081.0,-346536145081.0,,,
+ Năm 2015,+ Năm 2015,+ Năm 2015,-,-,494.196.025.727,(966.917.366.367),-,-,(472.721.340.640),,,494196025727.0,-966917366367.0,,,-472721340640.0
- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,-,-,-,(1.488.987.057.909),-,-,(1.488.987.057.909),,,,-1488987057909.0,,,-1488987057909.0
- Đánh giá lại tài sản theo biên bản xác định giá trị doanh nghiệp,- Đánh giá lại tài sản theo biên bản xác định giá trị doanh nghiệp,- Đánh giá lại tài sản theo biên bản xác định giá trị doanh nghiệp,-,70.331.552.995,-,-,-,-,70.331.552.995,,70331552995.0,,,,,70331552995.0
- Tiền bán cổ phần SAGS,- Tiền bán cổ phần SAGS,- Tiền bán cổ phần SAGS,-,-,-,-,-,102.277.953.879,102.277.953.879,,,,,,102277953879.0,102277953879.0
- Tăng vốn từ quỹ đầu tư phát triển,- Tăng vốn từ quỹ đầu tư phát triển,- Tăng vốn từ quỹ đầu tư phát triển,840.732.170.808,-,(840.732.170.808),-,-,-,-,840732170808.0,,-840732170808.0,,,,
31/12/2015,31/12/2015,31/12/2015,17.093.269.312.227,342.731.552.995,-,1.742.332.993.922,-,587.575.433.242,19.765.909.292.386,17093269312227.0,342731552995.0,,1742332993922.0,,587575433242.0,19765909292386.0
