row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,"Phương tiện vận tải, truyền dẫn VND",Thiết bị dụng cụ quản lý VND,Cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,"numeric__Phương tiện vận tải, truyền dẫn VND",numeric__Thiết bị dụng cụ quản lý VND,numeric__Cộng VND
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,
01/01/2015,HAO MÒN LỦY KẾ > 01/01/2015,01/01/2015,(7.204.207.891.903),(4.679.666.640.993),(1.072.467.457.950),(24.814.494.911),(12.981.156.485.757),-7204207891903.0,-4679666640993.0,-1072467457950.0,-24814494911.0,-12981156485757.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(1.831.397.965.943),(1.533.628.800.066),(120.093.196.480),(19.067.205.973),(3.504.187.168.462),-1831397965943.0,-1533628800066.0,-120093196480.0,-19067205973.0,-3504187168462.0
- Tăng do đánh giá lại tài sản để xác định giá trị doanh nghiệp,HAO MÒN LỦY KẾ > - Tăng do đánh giá lại tài sản để xác định giá trị doanh nghiệp,- Tăng do đánh giá lại tài sản để xác định giá trị doanh nghiệp,(6.099.032.225),13.564.125.218,18.665.349.704,140.700.761,26.271.143.458,-6099032225.0,13564125218.0,18665349704.0,140700761.0,26271143458.0
"- Đầu tư vào Công ty liên doanh, liên kết","HAO MÒN LỦY KẾ > - Đầu tư vào Công ty liên doanh, liên kết","- Đầu tư vào Công ty liên doanh, liên kết",(928.391.836),(4.297.561.095),62.121.610.069,291.479.887,57.187.137.025,-928391836.0,-4297561095.0,62121610069.0,291479887.0,57187137025.0
- Tăng/giảm do phân loại lại TSCĐ,HAO MÒN LỦY KẾ > - Tăng/giảm do phân loại lại TSCĐ,- Tăng/giảm do phân loại lại TSCĐ,33.837.130.968,18.488.148.585,(2.067.416.467),(50.257.863.086),-,33837130968.0,18488148585.0,-2067416467.0,-50257863086.0,
- Bàn giao cho Công ty TNHH Mua bán nợ Việt Nam,HAO MÒN LỦY KẾ > - Bàn giao cho Công ty TNHH Mua bán nợ Việt Nam,- Bàn giao cho Công ty TNHH Mua bán nợ Việt Nam,16.531.295.787,60.668.227.314,7.941.341.107,1.226.655.380,86.367.519.588,16531295787.0,60668227314.0,7941341107.0,1226655380.0,86367519588.0
- Bàn giao cho Công đoàn,HAO MÒN LỦY KẾ > - Bàn giao cho Công đoàn,- Bàn giao cho Công đoàn,1.885.689.556,-,-,-,1.885.689.556,1885689556.0,,,,1885689556.0
"- Giảm do thanh lý, chuyển nhượng, thu hồi đất, phá dỡ, thay thế","HAO MÒN LỦY KẾ > - Giảm do thanh lý, chuyển nhượng, thu hồi đất, phá dỡ, thay thế","- Giảm do thanh lý, chuyển nhượng, thu hồi đất, phá dỡ, thay thế",83.078.465.312,41.708.351.902,16.471.146.483,293.270.283,141.551.233.980,83078465312.0,41708351902.0,16471146483.0,293270283.0,141551233980.0
- Bàn giao cho Tổng Công ty Quản lý Bay Việt Nam- Công ty TNHH,HAO MÒN LỦY KẾ > - Bàn giao cho Tổng Công ty Quản lý Bay Việt Nam- Công ty TNHH,- Bàn giao cho Tổng Công ty Quản lý Bay Việt Nam- Công ty TNHH,-,70.295.000,-,-,70.295.000,,70295000.0,,,70295000.0
31/12/2015,HAO MÒN LỦY KẾ > 31/12/2015,31/12/2015,(8.907.300.700.284),(6.213.295.441.059),(1.192.560.654.430),(43.881.700.884),(16.172.010.635.612),-8907300700284.0,-6213295441059.0,-1192560654430.0,-43881700884.0,-16172010635612.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
01/01/2015,GIÁ TRỊ CÒN LẠI > 01/01/2015,01/01/2015,13.200.404.404.842,7.010.348.023.180,380.264.828.725,2.658.072.507,20.593.675.329.254,13200404404842.0,7010348023180.0,380264828725.0,2658072507.0,20593675329254.0
31/12/2015,GIÁ TRỊ CÒN LẠI > 31/12/2015,31/12/2015,13.475.432.035.186,6.199.267.993.503,333.112.585.705,50.919.235.818,20.243.759.711.257,13475432035186.0,6199267993503.0,333112585705.0,50919235818.0,20243759711257.0
