row_label_raw,row_label_full,Chỉ tiêu,Mã số,Trước điều chỉnh VND,Năm 2014 Điều chỉnh VND,Sau điều chỉnh VND,numeric__Mã số,numeric__Trước điều chỉnh VND,numeric__Năm 2014 Điều chỉnh VND,numeric__Sau điều chỉnh VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,7.998.749.058.975,-,7.998.749.058.975,1.0,7998749058975.0,,7998749058975.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,25.447.977.941,-,25.447.977.941,2.0,25447977941.0,,25447977941.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,7.973.301.081.034,-,7.973.301.081.034,10.0,7973301081034.0,,7973301081034.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,5.749.963.697.832,(55.259.544.423),5.694.704.153.409,11.0,5749963697832.0,-55259544423.0,5694704153409.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,2.223.337.383.202,55.259.544.423,2.278.596.927.625,20.0,2223337383202.0,55259544423.0,2278596927625.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,2.508.462.094.157,(84.625.479.004),2.423.836.615.153,21.0,2508462094157.0,-84625479004.0,2423836615153.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,462.827.799.774,-,462.827.799.774,22.0,462827799774.0,,462827799774.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,64.436.773.101,-,64.436.773.101,23.0,64436773101.0,,64436773101.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,47.017.462.869,(193.462.914),46.823.999.955,25.0,47017462869.0,-193462914.0,46823999955.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,1.043.889.304.088,2.049.537.115,1.045.938.841.203,26.0,1043889304088.0,2049537115.0,1045938841203.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,3.178.064.910.628,(31.222.008.782),3.146.842.901.846,30.0,3178064910628.0,-31222008782.0,3146842901846.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,87.278.655.296,(7.899.362.060),79.379.293.236,31.0,87278655296.0,-7899362060.0,79379293236.0
Chi phí khác,Chi phí khác,Chi phí khác,32,90.972.097.988,(23.051.238.508),67.920.859.480,32.0,90972097988.0,-23051238508.0,67920859480.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,(3.693.442.692),15.151.876.448,11.458.433.756,40.0,-3693442692.0,15151876448.0,11458433756.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,3.174.371.467.936,(16.070.132.334),3.158.301.335.602,50.0,3174371467936.0,-16070132334.0,3158301335602.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,779.000.030.021,(35.532.740.867),743.467.289.154,51.0,779000030021.0,-35532740867.0,743467289154.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,(41.193.008.841),10.024.368.420,(31.168.640.421),52.0,-41193008841.0,10024368420.0,-31168640421.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,2.436.564.446.756,9.438.240.113,2.446.002.686.869,60.0,2436564446756.0,9438240113.0,2446002686869.0
