row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2016Triệu VND,Nămkết thúc31/12/2015Triệu VND,numeric__Nămkết thúc31/12/2016Triệu VND,numeric__Nămkết thúc31/12/2015Triệu VND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,2.120.227,1.831.996,2120227.0,1831996.0
Thu về nghiệp vụ bán nợ,Thu nhập từ hoạt động khác > Thu về nghiệp vụ bán nợ,Thu về nghiệp vụ bán nợ,57.110,212.882,57110.0,212882.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,108.460,90.921,108460.0,90921.0
,,,2.285.797,2.135.799,2285797.0,2135799.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí hoạt động khác > Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí cho nghiệp vụ hoán đổi lãi suất,(132.417),(4.310),-132417.0,-4310.0
Chi về nghiệp vụ bán nợ,Chi phí hoạt động khác > Chi về nghiệp vụ bán nợ,Chi về nghiệp vụ bán nợ,(2.026),(110),-2026.0,-110.0
Chi công tác xã hội,Chi phí hoạt động khác > Chi công tác xã hội,Chi công tác xã hội,(216.968),(211.852),-216968.0,-211852.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(19.150),(14.118),-19150.0,-14118.0
,,,(370.561),(230.390),-370561.0,-230390.0
,,,1.915.236,1.905.409,1915236.0,1905409.0
