row_label_raw,row_label_full,col_0,col_1,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Ngoại tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Ngoại tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
,,,Tài sản,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",7.550.773,1.593.733,296.978,250.003,9.691.487,,7550773.0,1593733.0,296978.0,250003.0,9691487.0
II,II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,11.205.486,6.176.611,-,-,17.382.097,,11205486.0,6176611.0,,,17382097.0
III,III,III,"Tiền, vàng gửi và cho vay các tổ chức tín dụng khác – gộp",97.765.192,34.187.356,16.418.418,5.184.296,153.555.262,,97765192.0,34187356.0,16418418.0,5184296.0,153555262.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,3.249.805,-,-,-,3.249.805,,3249805.0,,,,3249805.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,6.906.789,(10.435.465),3.489.440,269.894,230.658,,6906789.0,-10435465.0,3489440.0,269894.0,230658.0
VI,VI,VI,Cho vay khách hàng – gộp,376.728.793,79.819.258,183.123,406.643,457.137.817,,376728793.0,79819258.0,183123.0,406643.0,457137817.0
VIII,VIII,VIII,Chứng khoán đầu tư – gộp,76.424.944,55.397.500,-,-,131.822.444,,76424944.0,55397500.0,,,131822444.0
IX,IX,IX,Góp vốn đầu tư dài hạn – gộp,5.375.575,-,-,-,5.375.575,,5375575.0,,,,5375575.0
X,X,X,Tài sản cố định,5.403.628,-,-,-,5.403.628,,5403628.0,,,,5403628.0
XII,XII,XII,Tài sản Có khác – gộp,9.158.241,910.286,315.342,98.159,10.482.028,,9158241.0,910286.0,315342.0,98159.0,10482028.0
,,,Tổng tài sản,599.769.226,167.649.279,20.703.301,6.208.995,794.330.801,,599769226.0,167649279.0,20703301.0,6208995.0,794330801.0
,,,Nợ phải trả,,,,,,,,,,,
"I, II","I, II","I, II",Tiền gửi của và vay từ NHNN và các tổ chức tín dụng khác,45.624.875,60.098.679,16.029.765,3.735.826,125.489.145,,45624875.0,60098679.0,16029765.0,3735826.0,125489145.0
III,III,III,Tiền gửi của khách hàng,476.999.336,106.897.662,4.651.060,2.362.678,590.910.736,,476999336.0,106897662.0,4651060.0,2362678.0,590910736.0
VI,VI,VI,Phát hành giấy tờ có giá,10.000.161,5.215,-,-,10.005.376,,10000161.0,5215.0,,,10005376.0
VII,VII,VII,Các khoản nợ khác,11.821.948,591.687,20.141,115.310,12.549.086,,11821948.0,591687.0,20141.0,115310.0,12549086.0
,,,Tổng nợ phải trả,544.446.320,167.593.243,20.700.966,6.213.814,738.954.343,,544446320.0,167593243.0,20700966.0,6213814.0,738954343.0
,,,Trạng thái tiền tệ nội bằng,55.322.906,56.036,2.335,(4.819),55.376.458,,55322906.0,56036.0,2335.0,-4819.0,55376458.0
