row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng (xem Thuyết minh 31),Nămkết thúc31/12/2016Triệu VND > 5.875.693 > 3.008.929,Nămkết thúc31/12/2015Triệu VND > 4.797.930 > 5.105.194,numeric__Nămkết thúc31/12/2016Triệu VND > 5.875.693 > 3.008.929,numeric__Nămkết thúc31/12/2015Triệu VND > 4.797.930 > 5.105.194
Xử lý các khoản nợ khó thu hồi bằng nguồn dự phòng,Xử lý các khoản nợ khó thu hồi bằng nguồn dự phòng,Xử lý các khoản nợ khó thu hồi bằng nguồn dự phòng,(4.173.895),(3.407.735),-4173895.0,-3407735.0
Sử dụng đối với nợ bán cho VAMC,Sử dụng đối với nợ bán cho VAMC,Sử dụng đối với nợ bán cho VAMC,-,(620.575),,-620575.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,2.508,879,2508.0,879.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.713.235,5.875.693,4713235.0,5875693.0
