row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiện vântải, truyền dẫnTriệu VND",Tài sânhữu hình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiện vântải, truyền dẫnTriệu VND",numeric__Tài sânhữu hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.564.847,3.076.928,665.503,680.276,6.987.554,2564847.0,3076928.0,665503.0,680276.0,6987554.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,503.158,265.949,70.733,166.366,1.006.206,503158.0,265949.0,70733.0,166366.0,1006206.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,478.312,265.630,70.733,148.571,963.246,478312.0,265630.0,70733.0,148571.0,963246.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,24.846,319,-,17.795,42.960,24846.0,319.0,,17795.0,42960.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(7.835),(17.335),(10.076),(11.869),(47.115),-7835.0,-17335.0,-10076.0,-11869.0,-47115.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.886),(16.882),(10.072),(10.766),(43.606),-5886.0,-16882.0,-10072.0,-10766.0,-43606.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(1.949),(453),(4),(1.103),(3.509),-1949.0,-453.0,-4.0,-1103.0,-3509.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.060.170,3.325.542,726.160,834.773,7.946.645,3060170.0,3325542.0,726160.0,834773.0,7946645.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,377.244,2.653.166,411.752,395.743,3.837.905,377244.0,2653166.0,411752.0,395743.0,3837905.0
Tăng trong năm,Giá trị khấu hao lũy kế > Tăng trong năm,Tăng trong năm,135.806,292.760,70.154,146.825,645.545,135806.0,292760.0,70154.0,146825.0,645545.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,135.620,292.760,70.154,146.474,645.008,135620.0,292760.0,70154.0,146474.0,645008.0
- Tăng khác,Giá trị khấu hao lũy kế > - Tăng khác,- Tăng khác,186,-,-,351,537,186.0,,,351.0,537.0
Giảm trong năm,Giá trị khấu hao lũy kế > Giảm trong năm,Giảm trong năm,(5.600),(17.308),(10.072),(10.405),(43.385),-5600.0,-17308.0,-10072.0,-10405.0,-43385.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(4.077),(16.882),(10.072),(10.300),(41.331),-4077.0,-16882.0,-10072.0,-10300.0,-41331.0
- Giảm khác,Giá trị khấu hao lũy kế > - Giảm khác,- Giảm khác,(1.523),(426),-,(105),(2.054),-1523.0,-426.0,,-105.0,-2054.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,507.450,2.928.618,471.834,532.163,4.440.065,507450.0,2928618.0,471834.0,532163.0,4440065.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.187.603,423.762,253.751,284.533,3.149.649,2187603.0,423762.0,253751.0,284533.0,3149649.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.552.720,396.924,254.326,302.610,3.506.580,2552720.0,396924.0,254326.0,302610.0,3506580.0
