row_label_raw,row_label_full,col_0,Quá hạnTriệu VND,Không chịu lãi suấtTriệu VND,Trong vòng1 thángTriệu VND,Từ 1 đến3 thángTriệu VND,Từ 3 đến6 thángTriệu VND,Từ 6 đến12 thángTriệu VND,Từ 1 đến5 nămTriệu VND,Trên5 nămTriệu VND,Tổng cộngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Không chịu lãi suấtTriệu VND,numeric__Trong vòng1 thángTriệu VND,numeric__Từ 1 đến3 thángTriệu VND,numeric__Từ 3 đến6 thángTriệu VND,numeric__Từ 6 đến12 thángTriệu VND,numeric__Từ 1 đến5 nămTriệu VND,numeric__Trên5 nămTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"I Tiền mặt, vàng bạc, đá quý","Tài sản > I Tiền mặt, vàng bạc, đá quý","I Tiền mặt, vàng bạc, đá quý",-,9.691.487,-,-,-,-,-,-,9.691.487,,9691487.0,,,,,,,9691487.0
II Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tài sản > II Tiền gửi tại Ngân hàng Nhà nước Việt Nam,II Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,17.382.097,-,-,-,-,-,17.382.097,,,17382097.0,,,,,,17382097.0
III Tiền gửi tại và cho vaycác tổ chức tín dụng khác – gộp,Tài sản > III Tiền gửi tại và cho vaycác tổ chức tín dụng khác – gộp,III Tiền gửi tại và cho vaycác tổ chức tín dụng khác – gộp,-,-,128.121.274,14.427.932,1.836.736,9.169.320,-,-,153.555.262,,,128121274.0,14427932.0,1836736.0,9169320.0,,,153555262.0
IV Chứng khoán kinh doanh – gộp,Tài sản > IV Chứng khoán kinh doanh – gộp,IV Chứng khoán kinh doanh – gộp,-,-,3.249.805,-,-,-,-,-,3.249.805,,,3249805.0,,,,,,3249805.0
V Các công cụ tài chính phải sinh và các tàisản tài chính khác,Tài sản > V Các công cụ tài chính phải sinh và các tàisản tài chính khác,V Các công cụ tài chính phải sinh và các tàisản tài chính khác,,,,230.658,,,,,230.658,,,,230658.0,,,,,230658.0
VI Cho vay khách hàng – gộp,Tài sản > VI Cho vay khách hàng – gộp,VI Cho vay khách hàng – gộp,5.370.114,-,106.220.223,166.608.734,119.891.217,41.055.569,16.867.744,1.124.216,457.137.817,5370114.0,,106220223.0,166608734.0,119891217.0,41055569.0,16867744.0,1124216.0,457137817.0
VIII Chứng khoán đầu tư – gộp,Tài sản > VIII Chứng khoán đầu tư – gộp,VIII Chứng khoán đầu tư – gộp,-,-,1.319.863,9.155.123,14.271.092,5.544.427,68.780.936,32.751.003,131.822.444,,,1319863.0,9155123.0,14271092.0,5544427.0,68780936.0,32751003.0,131822444.0
"IX Góp vốn, đầu tư dài hạn – gộp","Tài sản > IX Góp vốn, đầu tư dài hạn – gộp","IX Góp vốn, đầu tư dài hạn – gộp",-,5.375.575,-,-,-,-,-,-,5.375.575,,5375575.0,,,,,,,5375575.0
X Tài sản cố định,Tài sản > X Tài sản cố định,X Tài sản cố định,-,5.403.628,-,-,-,-,-,-,5.403.628,,5403628.0,,,,,,,5403628.0
