row_label_raw,row_label_full,Thuế phải trả (xem Thuyết minh 34),31/12/2016Triệu VND > 216.778,31/12/2015Triệu VND > 231.974,numeric__31/12/2016Triệu VND > 216.778,numeric__31/12/2015Triệu VND > 231.974
- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,103.852,163.624,103852.0,163624.0
- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,28.953,24.502,28953.0,24502.0
- Các thuế khác phải trả,- Các thuế khác phải trả,- Các thuế khác phải trả,83.973,43.848,83973.0,43848.0
Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,32.966,30.483,32966.0,30483.0
Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,128.468,137.828,128468.0,137828.0
Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,154.011,182.115,154011.0,182115.0
Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,525.297,189.171,525297.0,189171.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,346.219,106.740,346219.0,106740.0
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64.528,64.528,64528.0,64528.0
Vốn vay từ các tổ chức khác,Vốn vay từ các tổ chức khác,Vốn vay từ các tổ chức khác,-,1.500.000,,1500000.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,651.693,545.838,651693.0,545838.0
Phải trả khác,Phải trả khác,Phải trả khác,745.984,606.909,745984.0,606909.0
,,,2.865.944,3.595.586,2865944.0,3595586.0
