row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc31/12/2016Triệu VND,Năm kết thúc31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc31/12/2016Triệu VND,numeric__Năm kết thúc31/12/2015Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1,1,Thu nhập lãi và các khoản thu nhập tương tự nhận được,,36.489.977,29.957.328,,,36489977.0,29957328.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 2,2,Chi phí lãi và các chi phí tương tự đã trả,,(17.690.344),(15.696.663),,,-17690344.0,-15696663.0
3,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 3,3,Thu nhập từ hoạt động dịch vụ nhận được,,1.991.761,1.645.410,,,1991761.0,1645410.0
4,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 4,4,"Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",,2.432.639,2.134.498,,,2432639.0,2134498.0
5,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 5,5,(Chi phí)/Thu nhập khác,,(208.888),71.612,,,-208888.0,71612.0
6,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 6,6,"Tiền thu từ các khoản nợ đã được xử lý, bù đắp bằng nguồn rủi ro",,2.120.227,1.831.996,,,2120227.0,1831996.0
7,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 7,7,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",,(9.197.581),(7.019.570),,,-9197581.0,-7019570.0
8,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 8,8,Tiền thuế thu nhập thực nộp trong năm,34,(1.684.851),(1.618.531),,34.0,-1684851.0,-1618531.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,14.252.940,11.306.080,,,14252940.0,11306080.0
