row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Tổng cộng,Lợi nhuận sau thuế chưa phân phối/ Lỗ luỹ kế,Tổng cộng_1,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ dự phòng tài chính,numeric__Tổng cộng,numeric__Lợi nhuận sau thuế chưa phân phối/ Lỗ luỹ kế,numeric__Tổng cộng_1
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,26.650.203,5.725.318,1.588.579,3.160.928,4.749.507,7.135.363,44.260.391,26650203.0,5725318.0,1588579.0,3160928.0,4749507.0,7135363.0,44260391.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.611.929,6.611.929,,,,,,6611929.0,6611929.0
Phát hành cổ phiếu thường tăng vốn theo NQ Đại hội đồng cổ đông,Phát hành cổ phiếu thường tăng vốn theo NQ Đại hội đồng cổ đông,Phát hành cổ phiếu thường tăng vốn theo NQ Đại hội đồng cổ đông,9.327.483,(5.724.125),-,-,-,(3.603.358),-,9327483.0,-5724125.0,,,,-3603358.0,
Tạm trích quỹ từ lợi nhuận năm 2016,Tạm trích quỹ từ lợi nhuận năm 2016,Tạm trích quỹ từ lợi nhuận năm 2016,-,-,330.596,661.193,991.789,(2.182.172),(1.190.383),,,330596.0,661193.0,991789.0,-2182172.0,-1190383.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,(7.300),(7.300),-,(7.300),,,,-7300.0,-7300.0,,-7300.0
Chi phí phát hành cổ phiếu cho cổ đông chiến lược nước ngoài,Chi phí phát hành cổ phiếu cho cổ đông chiến lược nước ngoài,Chi phí phát hành cổ phiếu cho cổ đông chiến lược nước ngoài,-,(1.193),-,-,-,-,(1.193),,-1193.0,,,,,-1193.0
Điều chỉnh trích quỹ 2015 theo NQ Đại hội đồng cổ đông,Điều chỉnh trích quỹ 2015 theo NQ Đại hội đồng cổ đông,Điều chỉnh trích quỹ 2015 theo NQ Đại hội đồng cổ đông,-,-,(1.246),(2.493),(3.739),3.627,(112),,,-1246.0,-2493.0,-3739.0,3627.0,-112.0
Trả cổ tức trong năm,Trả cổ tức trong năm,Trả cổ tức trong năm,-,-,-,-,-,(2.665.020),(2.665.020),,,,,,-2665020.0,-2665020.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,46,46,,,,,,46.0,46.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,35.977.686,-,1.917.929,3.812.328,5.730.257,5.300.415,47.008.358,35977686.0,,1917929.0,3812328.0,5730257.0,5300415.0,47008358.0
