row_label_raw,row_label_full,Công ty con,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ phần vốn sở hữu trực tiếp của Ngân hàng,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ phần vốn sở hữu trực tiếp của Ngân hàng
Công ty TNHH MTV Cho thuê Tài chính Vietcombank,Công ty TNHH MTV Cho thuê Tài chính Vietcombank,Công ty TNHH MTV Cho thuê Tài chính Vietcombank,Giấy phép hoạt động số 05/GP-CTCTTC ngày 25 tháng 5 năm 1998 của NHNN,Cho thuê tài chính,100%,,,1.0
Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,Công ty TNHH Chứng khoán Vietcombank,"Giấy phép hoạt động số 09/GPHĐKD ngày 24 tháng 4 năm 2002, sửa đổi lần cuối theo giấy phép số 25/GPDC-UBCK ngày 11 tháng 6 năm 2013 của Ủy ban Chứng khoán Nhà nước (“UBCKNN”)",Chứng khoán,100%,,,1.0
Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Công ty TNHH Cao ốc Vietcombank 198,Giấy phép đầu tư số 1578/GP ngày 30 tháng 5 năm 1996 và số 1578/GPDC1 ngày 18 tháng 4 năm 2006 do Bộ Kế hoạch và Đầu tư cấp,Cho thuê văn phòng,70%,,,0.7
Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Công ty TNHH Tài chính Việt Nam,Giấy phép đăng ký kinh doanh số 0226 do Ủy ban Ngân hàng Hồng Kông cấp ngày 7 tháng 3 năm 1978 và Bản sửa đổi lần 1 cấp ngày 3 tháng 11 năm 1992 và Bản sửa đổi lần 2 cấp ngày 19 tháng 9 năm 1995.,Dịch vụ tài chính,100%,,,1.0
Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Công ty Chuyển tiền Vietcombank,Giấy phép đăng ký kinh doanh số E0321392009-6 do Chính quyền Bang Nevada cấp ngày 15 tháng 6 năm 2009,Chuyển tiền kiểu hối,"87,5%",,,0.875
