row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc 31/12/2016 Triệu VND,Năm kết thúc 31/12/2015 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc 31/12/2016 Triệu VND,numeric__Năm kết thúc 31/12/2015 Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1,1,Mua sắm tài sản cố định,,(1.270.224),(1.158.327),,,-1270224.0,-1158327.0
2,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2,2,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,5.646,3.862,,,5646.0,3862.0
3,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3,3,"Tiền chi từ thanh lý, nhượng bán tài sản cố định",,(1.748),(2.061),,,-1748.0,-2061.0
7,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7,7,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,12.540,12.100,,,12540.0,12100.0
8,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 8,8,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,-,(228.584),,,,-228584.0
9,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 9,9,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,111.656,75.256,,,111656.0,75256.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 10,10,Tiền thu cổ tức đã có quyết định trả cổ tức năm trước,,7.123,3.562,,,7123.0,3562.0
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II,II,Lưu chuyển tiền sử dụng vào hoạt động đầu tư,,(1.135.007),(1.294.192),,,-1135007.0,-1294192.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1,1,Cổ tức năm trước đã trả bằng tiền mặt,,(2.665.020),(2.665.020),,,-2665020.0,-2665020.0
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III,III,Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,,(2.665.020),(2.665.020),,,-2665020.0,-2665020.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV,IV,Lưu chuyển tiền thuần trong năm,,14.982.250,(11.450.122),,,14982250.0,-11450122.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V,V,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,33,162.740.479,174.190.601,,33.0,162740479.0,174190601.0
VII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,33,177.722.729,162.740.479,,33.0,177722729.0,162740479.0
