row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,9.691.487,8.518.139,,4.0,9691487.0,8518139.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,17.382.097,19.714.714,,5.0,17382097.0,19714714.0
III,A > III,III,Tiền gửi tại và cho vay các tổ chức tín dụng khác,6,153.555.262,133.357.003,,6.0,153555262.0,133357003.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,102.540.290,92.189.431,,,102540290.0,92189431.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,51.014.972,41.167.572,,,51014972.0,41167572.0
3,3,3,Dự phòng rủi ro,,-,-,,,,
IV,3 > IV,IV,Chứng khoán kinh doanh,7,3.249.805,9.061.389,,7.0,3249805.0,9061389.0
1,3 > 1,1,Chứng khoán kinh doanh,,3.249.805,9.061.389,,,3249805.0,9061389.0
2,2,2,Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,,
V,2 > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,18,230.658,628,,18.0,230658.0,628.0
VI,2 > VI,VI,Cho vay khách hàng,,449.070.726,376.079.052,,,449070726.0,376079052.0
1,2 > 1,1,Cho vay khách hàng,8,457.137.817,384.643.654,,8.0,457137817.0,384643654.0
2,2 > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(8.067.091),(8.564.602),,9.0,-8067091.0,-8564602.0
VIII,2 > VIII,VIII,Chứng khoán đầu tư,,131.642.317,107.462.284,,,131642317.0,107462284.0
1,2 > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10(a),51.923.760,42.468.041,,,51923760.0,42468041.0
2,2 > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10(b),79.898.684,65.661.872,,,79898684.0,65661872.0
3,2 > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(180.127),(667.629),,,-180127.0,-667629.0
IX,2 > IX,IX,"Góp vốn, đầu tư dài hạn",,5.254.693,5.339.786,,,5254693.0,5339786.0
1,2 > 1,1,Đầu tư vào công ty con,11(a),1.719.532,1.719.532,,,1719532.0,1719532.0
2,2 > 2,2,Vốn góp liên doanh,11(b),815.515,815.515,,,815515.0,815515.0
3,2 > 3,3,Đầu tư vào công ty liên kết,11(c),11.110,11.110,,,11110.0,11110.0
4,2 > 4,4,Đầu tư dài hạn khác,11(d),2.829.418,2.829.418,,,2829418.0,2829418.0
5,2 > 5,5,Dự phòng giảm giá đầu tư dài hạn,11(e),(120.882),(35.789),,,-120882.0,-35789.0
X,2 > X,X,Tài sản cố định,,5.403.628,4.771.541,,,5403628.0,4771541.0
1,2 > 1,1,Tài sản cố định hữu hình,12,3.506.580,3.149.649,,12.0,3506580.0,3149649.0
a,2 > a,a,Nguyên giá tài sản cố định,,7.946.645,6.987.554,,,7946645.0,6987554.0
b,2 > b,b,Hao mòn tài sản cố định,,(4.440.065),(3.837.905),,,-4440065.0,-3837905.0
2,2 > 2,2,Tài sản cố định vô hình,13,1.897.048,1.621.892,,13.0,1897048.0,1621892.0
a,2 > a,a,Nguyên giá tài sản cố định,,2.471.073,2.164.095,,,2471073.0,2164095.0
b,2 > b,b,Hao mòn tài sản cố định,,(574.025),(542.203),,,-574025.0,-542203.0
XII,2 > XII,XII,Tài sản Có khác,,10.482.028,8.623.946,,,10482028.0,8623946.0
1,2 > 1,1,Các khoản phải thu,14(a),2.507.696,2.226.236,,,2507696.0,2226236.0
2,2 > 2,2,"Các khoản lãi, phí phải thu",14(b),5.746.557,4.815.506,,,5746557.0,4815506.0
3,2 > 3,3,Tài sản Có khác,14(c),2.227.775,1.582.204,,,2227775.0,1582204.0
,,,TỔNG TÀI SẢN CÓ,,785.962.701,672.928.482,,,785962701.0,672928482.0
