row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016 Triệu VND,31/12/2015 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016 Triệu VND,numeric__31/12/2015 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,15,54.151.413,41.479.553,,15.0,54151413.0,41479553.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,71.337.732,72.194.479,,16.0,71337732.0,72194479.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,53.491.202,52.011.179,,,53491202.0,52011179.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,17.846.530,20.183.300,,,17846530.0,20183300.0
III,B > III,III,Tiền gửi của khách hàng,17,590.910.736,501.510.585,,17.0,590910736.0,501510585.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,10.005.376,2.007.070,,19.0,10005376.0,2007070.0
VII,B > VII,VII,Các khoản nợ khác,,12.549.086,11.476.404,,,12549086.0,11476404.0
1,B > 1,1,"Các khoản lãi, phí phải trả",20(a),6.449.922,4.996.351,,,6449922.0,4996351.0
2,B > 2,2,Các khoản phải trả và công nợ khác,20(b),6.099.164,6.480.053,,,6099164.0,6480053.0
,,,TỔNG NỘ PHẢI TRẢ,,738.954.343,628.668.091,,,738954343.0,628668091.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,35.977.686,32.375.521,,,35977686.0,32375521.0
a,VIII > a,a,Vốn điều lệ,,35.977.686,26.650.203,,,35977686.0,26650203.0
b,VIII > b,b,Thặng dư vốn cổ phần,,-,5.725.318,,,,5725318.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,5.730.257,4.749.507,,,5730257.0,4749507.0
4,VIII > 4,4,Lợi nhuận chưa phân phối,,5.300.415,7.135.363,,,5300415.0,7135363.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,870.659,3.665.749,,,870659.0,3665749.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,4.429.756,3.469.614,,,4429756.0,3469614.0
,,,TỔNG VỐN CHỦ SỞ HỮU,21,47.008.358,44.260.391,,21.0,47008358.0,44260391.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,785.962.701,672.928.482,,,785962701.0,672928482.0
