row_label_raw,row_label_full,col_0,col_1,Miền BắcTriệu VND,Miền Trungvà Tây NguyênTriệu VND,Miền NamTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__Miền BắcTriệu VND,numeric__Miền Trungvà Tây NguyênTriệu VND,numeric__Miền NamTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,52.993.068,9.149.109,25.273.478,(49.997.889),37.417.766,,52993068.0,9149109.0,25273478.0,-49997889.0,37417766.0
2,2,2,Chi phí lãi và các chi phí tương tự,(44.585.896),(6.538.261),(18.019.443),49.997.889,(19.145.711),,-44585896.0,-6538261.0,-18019443.0,49997889.0,-19145711.0
I,I,I,Thu nhập lãi thuần,8.407.172,2.610.848,7.254.035,-,18.272.055,,8407172.0,2610848.0,7254035.0,,18272055.0
3,3,3,Thu nhập từ hoạt động dịch vụ,2.161.327,384.512,1.602.892,,4.148.731,,2161327.0,384512.0,1602892.0,,4148731.0
4,4,4,Chi phí từ hoạt động dịch vụ,(2.066.657),(20.489),(69.824),-,(2.156.970),,-2066657.0,-20489.0,-69824.0,,-2156970.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,94.670,364.023,1.533.068,-,1.991.761,,94670.0,364023.0,1533068.0,,1991761.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,1.412.167,68.460,368.786,-,1.849.413,,1412167.0,68460.0,368786.0,,1849413.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,461.891,-,-,-,461.891,,461891.0,,,,461891.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,(89.416),-,-,-,(89.416),,-89416.0,,,,-89416.0
5,5,5,Thu nhập từ hoạt động khác,997.113,463.158,825.526,-,2.285.797,,997113.0,463158.0,825526.0,,2285797.0
6,6,6,Chi phí hoạt động khác,(216.354),(94.186),(60.021),-,(370.561),,-216354.0,-94186.0,-60021.0,,-370561.0
VI,VI,VI,Lãi thuần từ hoạt động khác,780.759,368.972,765.505,-,1.915.236,,780759.0,368972.0,765505.0,,1915236.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",111.656,-,-,-,111.656,,111656.0,,,,111656.0
,,,Tổng thu nhập hoạt động,11.178.899,3.412.303,9.921.394,-,24.512.596,,11178899.0,3412303.0,9921394.0,,24512596.0
VIII,VIII,VIII,Tổng chi phí hoạt động,(6.238.693),(983.337),(2.666.173),-,(9.888.203),,-6238693.0,-983337.0,-2666173.0,,-9888203.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,4.940.206,2.428.966,7.255.221,-,14.624.393,,4940206.0,2428966.0,7255221.0,,14624393.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(4.288.739),(573.976),(1.524.681),-,(6.387.396),,-4288739.0,-573976.0,-1524681.0,,-6387396.0
XI,XI,XI,Tổng lợi nhuận trước thuế,651.467,1.854.990,5.730.540,-,8.236.997,,651467.0,1854990.0,5730540.0,,8236997.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,(107.962),(370.998),(1.146.108),-,(1.625.068),,-107962.0,-370998.0,-1146108.0,,-1625068.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,(107.962),(370.998),(1.146.108),-,(1.625.068),,-107962.0,-370998.0,-1146108.0,,-1625068.0
XIII,XIII,XIII,Lợi nhuận sau thuế,543.505,1.483.992,4.584.432,-,6.611.929,,543505.0,1483992.0,4584432.0,,6611929.0
