row_label_raw,row_label_full,col_0,Ngành kinh doanh,Tỷ lệ vốn góp,Triệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệ vốn góp,numeric__Triệu VND
Ngân hàng TMCP Xuất - Nhập khẩu VN,Ngân hàng TMCP Xuất - Nhập khẩu VN,Ngân hàng TMCP Xuất - Nhập khẩu VN,Ngân hàng,"8,19%",582.065,,0.0819,582065.0
Ngân hàng TMCP Sài Gòn Công Thương,Ngân hàng TMCP Sài Gòn Công Thương,Ngân hàng TMCP Sài Gòn Công Thương,Ngân hàng,"4,30%",123.452,,0.043,123452.0
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng,"7,04%",1.242.989,,0.0704,1242989.0
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,Ngân hàng,"4,72%",144.802,,0.0472,144802.0
Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Quỹ bảo lãnh tín dụng các doanh nghiệp vừa và nhỏ,Bảo lãnh tín dụng,"0,80%",1.864,,0.008,1864.0
"SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","SWIFT, MASTER và VISA","Dịch vụ thể, thanh toán",-,2.936,,,2936.0
Công ty Cổ phần Bảo hiểm Petrolimex,Công ty Cổ phần Bảo hiểm Petrolimex,Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,"10,04%",67.900,,0.10039999999999999,67900.0
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan đầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan đầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan đầu khí,Dầu khí,"0,21%",5.496,,0.0021,5496.0
Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Công ty Cổ phần Thông tin tín dụng Việt Nam (PCB),Dịch vụ thông tin tín dụng,"6,64%",7.962,,0.0664,7962.0
Công ty Tài chính Cổ phần Xi măng,Công ty Tài chính Cổ phần Xi măng,Công ty Tài chính Cổ phần Xi măng,Dịch vụ tài chính,"10,91%",70.950,,0.1091,70950.0
Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Tổng Công ty Phát triển Hạ tầng và Đầu tư Tài chính Việt Nam,Đầu tư đường cao tốc,"1,97%",75.000,,0.0197,75000.0
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Dịch vụ thể,"1,83%",4.400,,0.0183,4400.0
Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,Hàng không,"1,83%",499.602,,0.0183,499602.0
