row_label_raw,row_label_full,Ngân hàng Nhà nước Việt NamThu nhập lãi tiền gửiChi phí lãi tiền gửi và tiền vay,Mối quan hệ > Cơ quanquản lý,Năm kết thúc31/12/2016Triệu VND > 124.475(160.765),Năm kết thúc31/12/2015Triệu VND > 107.562(83.575),numeric__Mối quan hệ > Cơ quanquản lý,numeric__Năm kết thúc31/12/2016Triệu VND > 124.475(160.765),numeric__Năm kết thúc31/12/2015Triệu VND > 107.562(83.575)
Bộ Tài chínhThu nhập lãi tiền vayChi phí lãi tiền gửiChi phí lãi tiền vay,Bộ Tài chínhThu nhập lãi tiền vayChi phí lãi tiền gửiChi phí lãi tiền vay,Bộ Tài chínhThu nhập lãi tiền vayChi phí lãi tiền gửiChi phí lãi tiền vay,Cơ quanquản lý,-(204.319)(26.959),4.908(61.536)(20.694),,,
Công ty TNHH một thành việnc cho thuê tài chính VietcombankThu nhập lãi tiền vayChi phí lãi tiền gửiThu nhập từ hoạt động dịch vụ,Công ty TNHH một thành việnc cho thuê tài chính VietcombankThu nhập lãi tiền vayChi phí lãi tiền gửiThu nhập từ hoạt động dịch vụ,Công ty TNHH một thành việnc cho thuê tài chính VietcombankThu nhập lãi tiền vayChi phí lãi tiền gửiThu nhập từ hoạt động dịch vụ,Công ty con,86.969(1.921)1.592,76.572(4.423)1.592,,,
Công ty TNHH Chứng khoán VietcombankChi phí lãi tiền gửiThu nhập lãi tiền gửiThu phí chuyển tiền,Công ty TNHH Chứng khoán VietcombankChi phí lãi tiền gửiThu nhập lãi tiền gửiThu phí chuyển tiền,Công ty TNHH Chứng khoán VietcombankChi phí lãi tiền gửiThu nhập lãi tiền gửiThu phí chuyển tiền,Công ty con,(237)-2.306,(1.414)8.585-,,,
Công ty TNHH Cao ốc Vietcombank 198Chi phí lãi tiền gửiChi phí thuê văn phòngLợi nhuận đã chia cho Ngân hàng,Công ty TNHH Cao ốc Vietcombank 198Chi phí lãi tiền gửiChi phí thuê văn phòngLợi nhuận đã chia cho Ngân hàng,Công ty TNHH Cao ốc Vietcombank 198Chi phí lãi tiền gửiChi phí thuê văn phòngLợi nhuận đã chia cho Ngân hàng,Công ty con,(22.623)(87.437)95.015,(25.431)(87.095)-,,,
Công ty TNHH Tài chính Việt NamThu nhập lãi tiền gửi,Công ty TNHH Cao ốc Vietcombank 198Chi phí lãi tiền gửiChi phí thuê văn phòngLợi nhuận đã chia cho Ngân hàng > Công ty TNHH Tài chính Việt NamThu nhập lãi tiền gửi,Công ty TNHH Tài chính Việt NamThu nhập lãi tiền gửi,Công ty con,5.358,5.298,,5358.0,5298.0
