row_label_raw,row_label_full,col_0,Nămkết thúc31/12/2016,Nămkết thúc31/12/2015,numeric__Nămkết thúc31/12/2016,numeric__Nămkết thúc31/12/2015
"Tổng số cán bộ, nhân viên (người)","Tổng số cán bộ, nhân viên (người)","Tổng số cán bộ, nhân viên (người)",15.164,14.295,15164.0,14295.0
"Thu nhập của cán bộ, nhân viên","Thu nhập của cán bộ, nhân viên","Thu nhập của cán bộ, nhân viên",,,,
Tổng quỹ lương và phụ cấp (Triệu VND)(xem Thuyết minh 30),"Thu nhập của cán bộ, nhân viên > Tổng quỹ lương và phụ cấp (Triệu VND)(xem Thuyết minh 30)",Tổng quỹ lương và phụ cấp (Triệu VND)(xem Thuyết minh 30),4.836.066,3.886.194,4836066.0,3886194.0
Thu nhập bình quân tháng/người (Triệu VND),"Thu nhập của cán bộ, nhân viên > Thu nhập bình quân tháng/người (Triệu VND)",Thu nhập bình quân tháng/người (Triệu VND),"26,58","22,65",26.58,22.65
