row_label_raw,row_label_full,col_0,"Máy móc,thiết bị","Phương tiện vântải, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.309.784.122,12.851.615.329,466.216.798,14.627.616.249,1309784122.0,12851615329.0,466216798.0,14627616249.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,2.128.409.091,-,-,2.128.409.091,2128409091.0,,,2128409091.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(12.253.309.874),-,(12.253.309.874),,-12253309874.0,,-12253309874.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.438.193.213,598.305.455,466.216.798,4.502.715.466,3438193213.0,598305455.0,466216798.0,4502715466.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.309.784.122,6.726.101.615,466.216.798,8.502.102.535,1309784122.0,6726101615.0,466216798.0,8502102535.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,155.196.496,903.987.952,-,1.059.184.448,155196496.0,903987952.0,,1059184448.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(7.031.784.112),-,(7.031.784.112),,-7031784112.0,,-7031784112.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.464.980.618,598.305.455,466.216.798,2.529.502.871,1464980618.0,598305455.0,466216798.0,2529502871.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,-,6.125.513.714,-,6.125.513.714,,6125513714.0,,6125513714.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.973.212.595,-,-,1.973.212.595,1973212595.0,,,1973212595.0
