row_label_raw,row_label_full,col_0,Tại ngày 31/12/2025,Tại ngày 31/12/2025_1,Tại ngày 31/12/2025_2,Tại ngày 31/12/2025_3,Tại ngày 31/12/2025_4,numeric__Tại ngày 31/12/2025,numeric__Tại ngày 31/12/2025_1,numeric__Tại ngày 31/12/2025_2,numeric__Tại ngày 31/12/2025_3,numeric__Tại ngày 31/12/2025_4
,,,Hoạt độngbốc dở và nâng hạcontainerVND,"Hoạt động chaylạnh,kiềm dịch, lưu kho,lưu bãiVND",Hoạt độngvận tảiVND,"Hoạt động đóng,dỡ hàng lẻ, hoạtđộng chuyển tiếp vàhoạt động khácVND",Tổng cộngVND,,,,,
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,2.001.023.005.273,165.326.837.728,345.865.236.336,1.216.830.417.283,3.729.045.496.620,2001023005273.0,165326837728.0,345865236336.0,1216830417283.0,3729045496620.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,9.233.863.561.773,,,,,9233863561773.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,12.962.909.058.393,,,,,12962909058393.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,79.476.642.111,6.566.452.199,13.737.077.252,48.330.076.831,148.110.248.393,79476642111.0,6566452199.0,13737077252.0,48330076831.0,148110248393.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,,,6.428.197.701.582,,,,,6428197701582.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,6.576.307.949.975,,,,,6576307949975.0
,,,Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,Tại ngày 31/12/2024,,,,,
,,,Hoạt độngbốc dở và nâng hạcontainerVND,"Hoạt động chaylạnh,kiềm dịch, lưu kho,lưu bãiVND",Hoạt độngvận tảiVND,"Hoạt động đóng,dỡ hàng lẻ, hoạtđộng chuyển tiếp vàhoạt động khácVND",Tổng cộngVND,,,,,
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,2.152.064.069.057,160.682.066.919,466.196.000.724,1.069.224.105.523,3.848.166.242.223,2152064069057.0,160682066919.0,466196000724.0,1069224105523.0,3848166242223.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,3.946.963.352.315,,,,,3946963352315.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,7.795.129.594.538,,,,,7795129594538.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,60.221.260.513,4.496.370.136,13.045.573.881,29.920.123.817,107.683.328.347,60221260513.0,4496370136.0,13045573881.0,29920123817.0,107683328347.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,,,2.791.330.547.910,,,,,2791330547910.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,2.899.013.876.257,,,,,2899013876257.0
