row_label_raw,row_label_full,col_0,Hoạt độngbốc độ và nâng hạcontainerVND,"Hoạt động chaylạnh,kiềm dịch, lưu kho,lưu bãiVND",Hoạt độngvận tảiVND,"Hoạt động đóng,dỡ hàng lẻ, hoạtđộng chuyển tiếpvà hoạt động khácVND",Tổng cộngVND,numeric__Hoạt độngbốc độ và nâng hạcontainerVND,"numeric__Hoạt động chaylạnh,kiềm dịch, lưu kho,lưu bãiVND",numeric__Hoạt độngvận tảiVND,"numeric__Hoạt động đóng,dỡ hàng lẻ, hoạtđộng chuyển tiếpvà hoạt động khácVND",numeric__Tổng cộngVND
Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,Tổng thu nhập của bộ phận,1.559.123.586.012,116.410.660.809,337.748.857.427,774.629.596.592,2.787.912.700.840,1559123586012.0,116410660809.0,337748857427.0,774629596592.0,2787912700840.0
Tổng chi phí khấu hao TSCĐ vàphân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ vàphân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ vàphân bổ chi phí trả trước dài hạn,(53.362.161.066),(3.984.241.203),(11.559.705.139),(26.512.272.452),(95.418.379.860),-53362161066.0,-3984241203.0,-11559705139.0,-26512272452.0,-95418379860.0
Tổng chi phí phân bổ ngoại trừ chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,(1.221.631.742.557),(91.212.114.096),(264.638.883.631),(606.951.310.602),(2.184.434.050.886),-1221631742557.0,-91212114096.0,-264638883631.0,-606951310602.0,-2184434050886.0
Tổng cộng,Tổng cộng,Tổng cộng,284.129.682.389,21.214.305.510,61.550.268.657,141.166.013.538,508.060.270.094,284129682389.0,21214305510.0,61550268657.0,141166013538.0,508060270094.0
Doanh thu thuần về hoạt độngtài chính,Doanh thu thuần về hoạt độngtài chính,Doanh thu thuần về hoạt độngtài chính,,,,,44.655.191.414,,,,,44655191414.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,3.316.909.852,,,,,3316909852.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(27.922.431.206),,,,,-27922431206.0
Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,,(3.532.098.092),,,,,-3532098092.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,,,,,(90.038.613.012),,,,,-90038613012.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,434.539.229.050,,,,,434539229050.0
Tổng chi phí đã phát sinh để muaTSCĐ và thuê tài chính,Tổng chi phí đã phát sinh để muaTSCĐ và thuê tài chính,Tổng chi phí đã phát sinh để muaTSCĐ và thuê tài chính,,,,,11.513.031.378,,,,,11513031378.0
