row_label_raw,row_label_full,Năm phát sinh lỗ > 2022,Tình trạng kiểm tra của các cơ quan thuế > Chưa thanh tra,Số lỗ phát sinh VND > 15.768.746.790,Số lỗ tính thuế đã được sử dụng VND > (15.768.746.790),Số lỗ còn được chuyển sang các kỳ tính thuế sau VND > -,numeric__Tình trạng kiểm tra của các cơ quan thuế > Chưa thanh tra,numeric__Số lỗ phát sinh VND > 15.768.746.790,numeric__Số lỗ tính thuế đã được sử dụng VND > (15.768.746.790),numeric__Số lỗ còn được chuyển sang các kỳ tính thuế sau VND > -
2023,2023,2023,Chưa thanh tra,100.849.589.810,(34.744.847.483),66.104.742.327,,100849589810.0,-34744847483.0,66104742327.0
2024,2024,2024,Chưa thanh tra,167.888.790.635,-,167.888.790.635,,167888790635.0,,167888790635.0
2025,2025,2025,Chưa thanh tra,15.472.419.020,-,15.472.419.020,,15472419020.0,,15472419020.0
