row_label_raw,row_label_full,Tên,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty Cổ phần Logistics Cảng Đà Nẵng,Công ty liên kết,
Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty Cổ phần Cảng dịch vụ Dầu khí Đình Vũ,Công ty liên kết(đến ngày 12/9/2024),
Công ty TNHH Tuyến Container T.S. Hà Nội,Công ty TNHH Tuyến Container T.S. Hà Nội,Công ty TNHH Tuyến Container T.S. Hà Nội,Công ty liên kết(đến ngày 23/1/2025),
Công ty Cổ phần Cảng VIMC Đình Vũ,Công ty Cổ phần Cảng VIMC Đình Vũ,Công ty Cổ phần Cảng VIMC Đình Vũ,Công ty liên kết,
Công ty TNHH Cảng Nam Hải Đình Vũ,Công ty TNHH Cảng Nam Hải Đình Vũ,Công ty TNHH Cảng Nam Hải Đình Vũ,Công ty liên kết(đến ngày 17/7/2024),
Công ty Cổ phần Vận tải biển Vinaship,Công ty Cổ phần Vận tải biển Vinaship,Công ty Cổ phần Vận tải biển Vinaship,Công ty liên kết,
Công ty Cổ phần VHL Logistics,Công ty Cổ phần VHL Logistics,Công ty Cổ phần VHL Logistics,Công ty liên kết,
Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Công ty liên kết(từ ngày 1/7/2025),
Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),Công ty TNHH Đại lý Vận tải Evergreen (Việt Nam),Công ty liên quan khác,
Công ty TNHH Dịch vụ Hàng hải Vinaship,Công ty TNHH Dịch vụ Hàng hải Vinaship,Công ty TNHH Dịch vụ Hàng hải Vinaship,Công ty liên quan khác,
Hội đồng Quản trị/Ban Kiểm soát/Ban Giám đốc,Hội đồng Quản trị/Ban Kiểm soát/Ban Giám đốc,Hội đồng Quản trị/Ban Kiểm soát/Ban Giám đốc,Nhân sự quản lý chủ chốt,
