row_label_raw,row_label_full,col_0,col_1,Tại ngày1/1/2025VND,Tăng trong nămVND,Thanh toántrong nămVND,Lãi nhập gốcVND(Thuyết minh 35),Vay dài hạnđến hạn trảVND,Tại ngày31/12/2025VND,numeric__col_1,numeric__Tại ngày1/1/2025VND,numeric__Tăng trong nămVND,numeric__Thanh toántrong nămVND,numeric__Lãi nhập gốcVND(Thuyết minh 35),numeric__Vay dài hạnđến hạn trảVND,numeric__Tại ngày31/12/2025VND
(a),(a),(a),Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,,,,,,,
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chính khác (ii)- Vay các tổ chức khác (iii)Thuê tài chính (v),298.766.741.896,3.684.388.499.291,(1.709.440.422.105),19.592.893.423,60.484.731.454,2.353.792.443.959,,298766741896.0,3684388499291.0,-1709440422105.0,19592893423.0,60484731454.0,2353792443959.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chính khác (ii)- Vay các tổ chức khác (iii)Thuê tài chính (v),54.200.672.280,66.510.437.825,(48.720.675.073),1.218.401,60.484.731.454,132.476.384.887,,54200672280.0,66510437825.0,-48720675073.0,1218401.0,60484731454.0,132476384887.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chính khác (ii)- Vay các tổ chức khác (iii)Thuê tài chính (v),237.441.483.160,3.116.940.861.466,(1.587.439.877.970),19.591.675.022,-,1.786.534.141.678,,237441483160.0,3116940861466.0,-1587439877970.0,19591675022.0,,1786534141678.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chính khác (ii)- Vay các tổ chức khác (iii)Thuê tài chính (v),7.124.586.456,500.937.200.000,(73.279.869.062),-,-,434.781.917.394,,7124586456.0,500937200000.0,-73279869062.0,,,434781917394.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chính khác (ii)- Vay các tổ chức khác (iii)Thuê tài chính (v),986.941.908,-,(986.941.908),-,27.359.094.336,27.359.094.336,,986941908.0,,-986941908.0,,27359094336.0,27359094336.0
(a),(a) > (a),(a),Vay bên thứ baTrong đó:- Vay ngân hàng (i)- Vay các tổ chức tài chính khác (ii)- Vay các tổ chức khác (iii)Thuê tài chính (v),299.753.683.804,3.684.388.499.291,(1.710.427.364.013),19.592.893.423,87.843.825.790,2.381.151.538.295,,299753683804.0,3684388499291.0,-1710427364013.0,19592893423.0,87843825790.0,2381151538295.0
(b),(b),(b),Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (iv)Thuê tài chính (v),1.647.591.677.437,1.342.000.000.000,-,-,(60.484.731.454),2.929.106.945.983,,1647591677437.0,1342000000000.0,,,-60484731454.0,2929106945983.0
(b),(b) > (b),(b),Vay ngân hàng (iv)Thuê tài chính (v),2.707.260.719,87.907.174.705,-,-,(27.359.094.336),63.255.341.088,,2707260719.0,87907174705.0,,,-27359094336.0,63255341088.0
(b),(b) > (b),(b),Vay ngân hàng (iv)Thuê tài chính (v),1.650.298.938.156,1.429.907.174.705,-,-,(87.843.825.790),2.992.362.287.071,,1650298938156.0,1429907174705.0,,,-87843825790.0,2992362287071.0
