row_label_raw,row_label_full,col_0,Hoạt độngbốc độ và nâng hạcontainerVND,"Hoạt động chaylạnh, kiểm dịch, lưu kho,lưu bãiVND",Hoạt độngvận tảiVND,"Hoạt động đóng,dỡ hàng lẻ, hoạtđộng chuyển tiếpvà hoạt độngkhácVND",Tổng cộngVND,numeric__Hoạt độngbốc độ và nâng hạcontainerVND,"numeric__Hoạt động chaylạnh, kiểm dịch, lưu kho,lưu bãiVND",numeric__Hoạt độngvận tảiVND,"numeric__Hoạt động đóng,dỡ hàng lẻ, hoạtđộng chuyển tiếpvà hoạt độngkhácVND",numeric__Tổng cộngVND
Tổng thu nhập của bộ phân,Tổng thu nhập của bộ phân,Tổng thu nhập của bộ phân,1.720.092.434.589,142.116.028.682,297.308.014.371,1.045.995.368.085,3.205.511.845.727,1720092434589.0,142116028682.0,297308014371.0,1045995368085.0,3205511845727.0
Tổng chi phí khấu hao TSCĐ vàphân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ vàphân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ vàphân bổ chi phí trả trước dài hạn,(239.368.364.060),(19.776.891.409),(41.373.435.282),(145.560.898.378),(446.079.589.129),-239368364060.0,-19776891409.0,-41373435282.0,-145560898378.0,-446079589129.0
Tổng chi phí phân bổ ngoại trừ chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,Tổng chi phí phân bổ ngoại trừ chi phí khấu hao TSCĐ và phân bổchi phí trả trước dài hạn,(1.115.391.778.119),(92.154.960.247),(192.789.008.387),(678.274.382.267),(2.078.610.129.020),-1115391778119.0,-92154960247.0,-192789008387.0,-678274382267.0,-2078610129020.0
Tổng công,Tổng công,Tổng công,365.332.292.410,30.184.177.026,63.145.570.702,222.160.087.440,680.822.127.578,365332292410.0,30184177026.0,63145570702.0,222160087440.0,680822127578.0
Chi phí thuần về hoạt động tài chính,Chi phí thuần về hoạt động tài chính,Chi phí thuần về hoạt động tài chính,,,,,(154.877.896.770),,,,,-154877896770.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,38.364.286.732,,,,,38364286732.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(4.045.539.706),,,,,-4045539706.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,121.568.476.432,,,,,121568476432.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,,,,,(156.287.016.629),,,,,-156287016629.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,,,525.544.437.637,,,,,525544437637.0
Tổng chi phí đã phát sinh đề muaTSCĐ và thuê tài chính,Tổng chi phí đã phát sinh đề muaTSCĐ và thuê tài chính,Tổng chi phí đã phát sinh đề muaTSCĐ và thuê tài chính,,,,,238.234.256.338,,,,,238234256338.0
