row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,1.742.121.303.804,850.123.138.269,1.573.148.647.902,30.446.179.052,4.195.839.269.027,1742121303804.0,850123138269.0,1573148647902.0,30446179052.0,4195839269027.0
Mua mối trong năm,Nguyên giá > Mua mối trong năm,Mua mối trong năm,192.517.000,152.100.000.000,3.261.000.000,157.334.909,155.710.851.909,192517000.0,152100000000.0,3261000000.0,157334909.0,155710851909.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(448.180.856),(103.559.621.901),(64.400.000),(104.072.202.757),,-448180856.0,-103559621901.0,-64400000.0,-104072202757.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,1.742.313.820.804,1.001.774.957.413,1.472.850.026.001,30.539.113.961,4.247.477.918.179,1742313820804.0,1001774957413.0,1472850026001.0,30539113961.0,4247477918179.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(1.008.569.308.165),(494.632.313.661),(1.321.336.384.733),(23.855.099.045),(2.848.393.105.604),-1008569308165.0,-494632313661.0,-1321336384733.0,-23855099045.0,-2848393105604.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(100.188.904.783),(80.751.056.179),(68.203.153.687),(1.683.366.863),(250.826.481.512),-100188904783.0,-80751056179.0,-68203153687.0,-1683366863.0,-250826481512.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,268.468.320,103.559.621.901,64.400.000,103.892.490.221,,268468320.0,103559621901.0,64400000.0,103892490221.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(1.108.758.212.948),(575.114.901.520),(1.285.979.916.519),(25.474.065.908),(2.995.327.096.895),-1108758212948.0,-575114901520.0,-1285979916519.0,-25474065908.0,-2995327096895.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,733.551.995.639,355.490.824.608,251.812.263.169,6.591.080.007,1.347.446.163.423,733551995639.0,355490824608.0,251812263169.0,6591080007.0,1347446163423.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,633.555.607.856,426.660.055.893,186.870.109.482,5.065.048.053,1.252.150.821.284,633555607856.0,426660055893.0,186870109482.0,5065048053.0,1252150821284.0
